"year","TRTID10","hinc","powner","pwht","pblk","pop"
"1970",36005014100,4097.297949,"4.31","60.98","37.13",5674.38184169121
"1970",36005014300,4773.584913,"5.34","41.53","56.36",1487.61810909491
"1970",36005014400,6143.265805,"13.85","65.00","34.34",5321.97471919842
"1970",36005014500,5330.188571,"2.54","29.82","64.98",6564.99991440214
"1970",36005014701,5702.651376,"0.64","38.07","57.80",7988.33233562624
"1970",36005014702,5702.651382,"0.64","38.07","57.80",7452.66739833355
"1970",36005014900,4951.922719,"4.02","21.11","74.60",6531.00000608247
"1970",36005015100,4569.50697,"6.71","4.67","93.10",7811.00005819649
"1970",36005015200,8699.25447,"45.76","99.33","0.53",2829.24325396831
"1970",36005015300,3905.228912,"2.39","48.93","46.59",13744.9999231938
"1970",36005015500,4264.084516,"1.05","55.01","41.27",7002.00019563362
"1970",36005015700,3626.11686,"3.74","56.47","39.70",9711.9677317337
"1970",36005015800,11395.83295,"67.58","99.80","0.00",979.999985396862
"1970",36005015900,3193.133503,"0.97","62.04","36.57",6393.0000308603
"1970",36005016000,10741.75808,"67.65","99.54","0.30",3694.00007837446
"1970",36005016100,4428.571234,"0.32","45.78","50.77",11095.0001046219
"1970",36005016200,10012.34607,"63.79","99.72","0.00",1780.99995355681
"1970",36005016400,9396.551495,"58.75","99.08","0.00",1311.00000976771
"1970",36005016500,3355.931802,"1.26","55.19","42.60",6442.42379638604
"1970",36005016600,12185.3929,"72.47","99.77","0.05",2152.75676572637
"1970",36005016700,3690.841054,"1.53","62.02","36.05",6777.55052868913
"1970",36005016900,3473.282462,"1.37","51.10","44.62",4347.5954089657
"1970",36005017300,5325.174981,"6.02","53.33","44.95",4936.99996781442
"1970",36005017500,5608.303189,"1.95","42.61","55.27",7286.04115253687
"1970",36005017701,5866.922971,"8.21","37.74","59.94",5557.13173619267
"1970",36005017702,5866.923234,"8.21","37.74","59.94",5853.68067137718
"1970",36005017901,6116.564863,"0.38","64.60","33.17",5953.75346848369
"1970",36005017902,6116.564417,"0.38","64.60","33.17",4212.24660725892
"1970",36005018101,5781.786874,"4.18","58.40","39.57",2744.30436428636
"1970",36005018102,5781.786811,"4.18","58.40","39.57",5142.69559164159
"1970",36005018301,6596.685002,"2.75","73.84","23.96",4263.91442137957
"1970",36005018302,6596.685086,"2.75","73.84","23.96",3439.08558128265
"1970",36005018400,10223.35067,"55.88","99.60","0.05",4259.0000039665
"1970",36005018500,4470.455763,"3.47","17.83","78.04",12101.000113938
"1970",36005018900,6549.834041,"4.82","74.86","23.71",8201.81982541084
"1970",36005019300,6344.914236,"1.42","51.90","45.89",6595.18023223151
"1970",36005019400,11274.50943,"48.02","99.88","0.06",1658.99996040773
"1970",36005019500,6944.827418,"0.86","87.16","10.80",6224.00006376207
"1970",36005019700,6619.678781,"0.28","83.25","13.48",5191.52310989952
"1970",36005019900,6315.789311,"1.61","56.33","42.23",7814.00008732826
"1970",36005020000,8739.337086,"16.46","98.99","0.42",3838.50770819539
"1970",36005020100,6099.558906,"2.11","62.55","36.47",4494.25041119978
"1970",36005020200,9705.883218,"26.12","99.21","0.57",1765.99998684227
"1970",36005020400,8968.750322,"25.14","98.80","0.90",2676.00001993775
"1970",36005020501,7743.894608,"4.29","67.73","30.01",5470.79085305287
"1970",36005020502,7747.190771,"4.29","67.74","30.00",3432.12521758047
"1970",36005020601,8990.740741,"38.86","99.74","0.21",1894.00000088196
"1970",36005020900,6183.019686,"0.64","88.45","8.63",4128.95905049571
"1970",36005021001,9575.110243,"0.34","97.90","1.96",7127.99828647077
"1970",36005021002,9575.110136,"0.34","97.90","1.96",8848.58451986426
"1970",36005021100,5997.354394,"2.66","71.03","27.68",6765.99989917874
"1970",36005021200,8422.172134,"0.40","98.68","1.16",5352.9164852503
"1970",36005021301,7070.791093,"2.80","43.76","55.37",1616.95350067831
"1970",36005021302,5969.798616,"3.08","66.31","31.21",6622.04639791238
"1970",36005021501,5613.401584,"0.71","75.04","22.83",5168.0001155138
"1970",36005021502,6552.884797,"1.62","61.06","37.05",7684.00011450052
"1970",36005021601,8792.857143,"19.71","98.38","0.49",3876.99993139599
"1970",36005021602,9117.885356,"2.35","97.57","1.54",4924.41708533288
"1970",36005021700,6143.909933,"1.41","54.32","43.91",6196.97070719761
"1970",36005021800,8063.492424,"19.80","95.23","3.99",6185.00004176167
"1970",36005021900,5290.636129,"1.40","88.03","8.70",1117.10736561002
"1970",36005022000,3962.5,"6.24","89.88","9.38",1343.99998325855
"1970",36005022101,5989.406902,"0.89","77.94","19.62",2632.52472391766
"1970",36005022102,5989.406845,"0.89","77.94","19.62",4101.9521247329
"1970",36005022200,6643.932391,"15.46","98.52","0.08",2523.08334618236
"1970",36005022300,6190.821388,"0.38","89.09","7.79",4599.83470106497
"1970",36005022401,8080.357143,"0.61","99.13","0.51",2531.99996227026
"1970",36005022403,8342.105186,"0.33","99.65","0.28",2921.37945267558
"1970",36005022404,8342.105325,"0.33","99.65","0.28",3611.62064467371
"1970",36005022500,6493.589824,"2.06","76.08","20.75",7002.00004116457
"1970",36005022701,6506.347024,"2.13","77.21","20.09",5191.23703071122
"1970",36005022702,7305.905268,"0.41","87.66","11.70",1600.89098844841
"1970",36005022703,7285.714568,"2.02","95.25","3.01",765.982400894165
"1970",36005022800,8512.058734,"6.07","99.50","0.02",5072.7870457659
"1970",36005022901,7434.85315,"4.59","67.07","27.36",5584.91483329492
"1970",36005022902,6119.266067,"3.66","59.53","38.66",3161.10268281964
"1970",36005023000,7010.416367,"23.09","97.42","0.67",2399.2129318025
"1970",36005023100,6687.090501,"5.22","63.56","33.34",2415.30210395272
"1970",36005023200,8536.363368,"35.67","98.07","1.05",2382.99999112263
"1970",36005023301,6787.313494,"1.21","79.56","17.95",5053.99996234477
"1970",36005023302,7273.585133,"3.93","89.19","8.65",2728
"1970",36005023501,6298.611289,"0.80","89.65","5.79",2694.99999937252
"1970",36005023502,6782.051056,"3.50","89.42","7.93",3251.99998788536
"1970",36005023600,7418.604638,"25.04","97.62","0.38",1594.99996434897
"1970",36005023702,6293.478061,"1.32","89.13","8.20",1048.99997655302
"1970",36005023703,6952.153608,"1.36","94.09","4.82",3774.18350523803
"1970",36005023704,6952.153596,"1.36","94.09","4.82",2930.81655096263
"1970",36005023800,9679.635762,"37.26","98.89","0.75",2261.99999693475
"1970",36005023900,6207.60259,"2.73","92.71","5.62",6978.00009748153
"1970",36005024000,7725,"33.55","90.63","8.33",3147.00003077416
"1970",36005024100,5850,"1.85","72.36","24.95",7062.99997368827
"1970",36005024300,6279.141061,"3.63","63.54","32.04",6398.99997616187
"1970",36005024400,9327.272425,"46.22","99.69","0.09",2286.00002554804
"1970",36005024501,7870.000509,"6.68","78.84","18.29",4577.4554740414
"1970",36005024502,7870.000326,"6.68","78.84","18.29",3408.54453339614
"1970",36005024600,10758.24253,"42.68","99.63","0.05",2188.99997681018
"1970",36005024700,9161.065291,"3.96","69.37","27.05",1367.54821497947
"1970",36005024800,10161.28947,"28.32","99.57","0.24",3269.99995964812
"1970",36005025000,9857.142683,"42.62","99.49","0.14",2949.00002197176
"1970",36005025100,6077.669749,"3.43","76.34","18.41",9385.99996831245
"1970",36005025200,9405.660432,"50.93","97.37","2.56",2621.85398518521
"1970",36005025300,8214.952874,"3.66","95.65","2.99",5242.99997070245
"1970",36005025400,9166.666667,"43.61","98.99","0.04",2377.00000885502
"1970",36005025500,7602.563889,"3.08","97.95","1.44",5124.99994272366
"1970",36005025600,9069.767923,"36.96","99.89","0.05",1813.14610594145
"1970",36005025700,8785.713496,"6.65","86.00","12.43",1472.45172567666
"1970",36005026100,11975.60948,"0.53","89.44","4.73",3104.99990746379
"1970",36005026300,7921.052568,"3.75","97.17","2.04",5300.99990126118
"1970",36005026400,9409.090717,"46.61","99.26","0.06",5168.99998194748
"1970",36005026500,8554.546028,"4.38","99.13","0.26",4958.00009234995
"1970",36005026601,9698.630051,"31.40","99.37","0.28",2839.00002825801
"1970",36005026602,9089.404477,"21.60","97.45","1.97",5694.00002485758
"1970",36005026701,9416.058389,"3.71","98.81","0.66",2946.43482571468
"1970",36005026702,9416.059038,"3.71","98.81","0.66",5968.56517428532
"1970",36005026900,10020.83313,"6.08","97.86","1.24",2668.99998990184
"1970",36005027300,7990.921404,"10.44","95.89","3.24",6288.24103731891
"1970",36005027401,11813.00787,"64.53","99.66","0.13",5732.07398640728
"1970",36005027402,11813.00904,"64.53","99.66","0.13",3325.9259934256
"1970",36005027600,NA,NA,NA,NA,0
"1970",36005027700,8410.156317,"8.38","95.62","2.80",4124.7591076995
"1970",36005027900,10635.41728,"28.21","97.26","0.93",7308.99988598214
"1970",36005028100,10235.29421,"72.30","98.67","1.00",3992.00008922815
"1970",36005028300,7858.526125,"1.10","76.82","22.13",2249.02305369708
"1970",36005028400,8104.971036,"31.63","77.98","20.47",899.053836758117
"1970",36005028500,9517.060114,"20.64","94.09","3.72",3317.46723162073
"1970",36005028600,9692.307339,"55.14","97.84","0.85",1524.99998792773
"1970",36005028700,9754.545998,"20.71","95.94","2.03",3154
"1970",36005028800,10980.39219,"52.81","98.74","0.37",2683.17885092064
"1970",36005028900,8153.040787,"17.74","95.24","4.18",4679.27958027717
"1970",36005029301,16336.26017,"31.07","94.48","2.09",2108.26272774809
"1970",36005029302,16227.86193,"30.26","94.61","2.06",6253.78691386135
"1970",36005029500,12520.33664,"9.29","95.97","0.71",4578.65124867572
"1970",36005029600,8810.192652,"24.42","87.23","9.89",2893.25950005406
"1970",36005029700,13206.03181,"5.40","98.09","1.09",4637.52935027942
"1970",36005030000,9621.30144,"33.78","99.30","0.13",6253.0000291178
"1970",36005030100,11310.34492,"8.42","96.98","0.75",1458.9999904884
"1970",36005030200,7200,"76.92","100.00","0.00",144.000006839633
"1970",36005030701,16493.88138,"4.61","93.81","1.19",6994.02948977333
"1970",36005030900,16145.36947,"5.66","94.64","1.17",4020.99248734975
"1970",36005031000,13164.89338,"80.66","99.43","0.19",2624.0000455156
"1970",36005031200,11956.52121,"69.33","99.16","0.12",1658.99998145923
"1970",36005031400,12425.37296,"70.59","99.46","0.43",1866
"1970",36005031600,11957.44792,"65.25","98.80","0.23",1754.00001306832
"1970",36005031800,11115.942,"67.83","99.66","0.00",1466.99999769445
"1970",36005031900,806.9054081,NA,"98.08","0.44",677.000007566065
