"year","TRTID10","hinc","powner","pwht","pblk","pop"
"2000",36005000100,NA,NA,"8.54","60.62",12780
"2000",36005000200,42539,"52.51","5.90","22.76",3545
"2000",36005000400,39013,"57.13","5.25","22.27",3314
"2000",36005001600,24552,"15.70","4.77","31.03",5237
"2000",36005001900,22771.9156,"16.47","5.74","29.73",1584
"2000",36005002000,14691,"14.71","1.43","42.71",9068
"2000",36005002300,14112,"0.70","1.15","35.55",4338
"2000",36005002500,12221,"1.77","0.78","19.06",5109
"2000",36005002701,12898,"0.96","0.46","34.06",3033
"2000",36005002702,12654,"3.01","1.14","23.48",4736
"2000",36005002800,34234,"5.97","1.22","77.79",5718
"2000",36005003100,27330,"2.10","1.62","20.70",1478
"2000",36005003300,11322,"6.50","1.48","20.86",3116
"2000",36005003500,18736,"5.11","0.69","25.31",3473
"2000",36005003700,23750,"1.19","0.63","36.40",478
"2000",36005003800,47647,"33.02","3.40","34.84",1263
"2000",36005003900,15893,"5.73","1.46","18.68",6022
"2000",36005004001,29545,"39.90","15.21","18.45",1420
"2000",36005004100,12970,"3.72","0.99","25.40",5240
"2000",36005004200,29358.32693,"10.49","1.80","47.96",7539
"2000",36005004300,19434,"11.38","0.61","20.65",4789
"2000",36005004400,13185,"4.30","1.31","41.68",4671
"2000",36005004600,17975.99975,"1.53","3.71","41.32",1418.999979
"2000",36005004800,19023,"6.72","1.96","16.61",3678
"2000",36005005001,20384.99971,"8.39","1.45","25.13",4871.000047
"2000",36005005002,20385.00024,"8.39","1.45","25.13",5868.999953
"2000",36005005100,12336.1875,"1.14","0.68","37.69",5634
"2000",36005005200,13826,"7.73","1.28","31.02",2186
"2000",36005005300,15527.00025,"1.27","0.75","62.75",4159.000008
"2000",36005005400,21282,"15.91","1.37","29.10",5550
"2000",36005005600,12604,"10.44","2.21","27.64",2710
"2000",36005005902,33256,"18.00","3.43","37.77",2682
"2000",36005006000,30242,"7.20","2.96","13.60",1081
"2000",36005006100,30469,"44.64","2.08","81.51",4039
"2000",36005006200,16314,"4.73","1.42","43.96",6399
"2000",36005006300,23757.98101,"7.17","2.60","31.75",5885.000001
"2000",36005006400,35279,"21.99","2.04","38.06",3967
"2000",36005006500,17457,"2.24","3.29","28.31",4655
"2000",36005006700,17353,"3.85","1.23","29.84",6491
"2000",36005006800,25966,"15.84","1.06","31.26",3209
"2000",36005006900,10576,"3.29","2.01","32.80",4323
"2000",36005007000,32146,"27.83","3.17","23.15",4160
"2000",36005007100,36316,"45.28","2.12","29.71",1885
"2000",36005007200,31126,"18.76","7.35","15.43",5073
"2000",36005007300,21545,"0.80","0.99","22.11",3248
"2000",36005007400,40654,"31.29","2.51","43.85",3503
"2000",36005007500,20813,"21.32","0.77","31.27",4688
"2000",36005007600,33121.48973,"16.65","2.50","22.24",4929
"2000",36005007700,21958,"23.41","1.53","24.41",1307
"2000",36005007800,34353,"23.58","8.43","17.55",6171
"2000",36005007900,14767,"2.03","1.45","21.52",6598
"2000",36005008300,25886,"8.82","0.98","17.50",6204
"2000",36005008400,39911,"56.32","0.96","37.18",2079
"2000",36005008500,18402.99967,"9.66","1.93","23.38",5424.886309
"2000",36005008600,14409,"8.53","1.51","36.77",4381
"2000",36005008700,19614.27349,"8.71","1.27","17.05",5206.113553
"2000",36005008900,13007,"9.36","1.07","12.51",2886
"2000",36005009000,15769.59601,"17.81","3.99","33.97",3669.538028
"2000",36005009200,36589,"20.69","10.13","12.92",4877
"2000",36005009300,18371.23821,"9.61","1.65","24.64",5531
"2000",36005009600,39218.22353,"39.16","16.67","15.10",2099
"2000",36005009800,38642,"38.50","5.04","29.22",5538
"2000",36005011000,9461.00025,"12.42","34.26","18.89",38.46196788
"2000",36005011502,14167,"5.69","1.26","26.65",4139
"2000",36005011700,16605.7986,"5.07","0.71","33.16",1695
"2000",36005011800,57650.76524,"69.14","82.14","1.16",5058.094576
"2000",36005011900,16990,"8.60","1.08","26.04",4793
"2000",36005012101,21424,"18.64","1.63","25.71",2878
"2000",36005012102,17688,"1.94","0.80","16.62",1619
"2000",36005012300,17901.45905,"8.72","1.57","22.99",2920.896047
"2000",36005012500,27566,"31.01","1.37","37.21",2271
"2000",36005012701,12342,"15.27","1.82","23.21",2309
"2000",36005012901,13214,"7.58","1.17","28.30",2728
"2000",36005013000,48500,"52.86","60.98","0.68",1179
"2000",36005013100,13281,"12.97","0.71","33.28",3519
"2000",36005013200,54508.99819,"61.89","57.21","3.78",5635.905309
"2000",36005013300,16426,"9.87","0.61","46.97",6047
"2000",36005013500,14667,"10.09","0.58","53.71",3126
"2000",36005013800,48813,"60.56","64.28","1.80",1940
"2000",36005014100,13844.51155,"3.57","1.96","36.05",2313.999998
"2000",36005014300,8605.999764,"3.72","1.35","47.86",711.9999781
"2000",36005014400,21583.75233,"13.63","9.34","36.76",5772.99999
"2000",36005014500,14264,"1.31","0.86","55.08",4878
"2000",36005014701,10774.99975,"1.39","0.77","50.43",5652.000108
"2000",36005014702,10775.00027,"1.39","0.77","50.43",5272.999892
"2000",36005014900,14353,"4.09","1.58","48.09",3668
"2000",36005015100,18448,"9.09","0.80","52.79",4743
"2000",36005015200,54609.10469,"50.32","56.80","1.83",2382
"2000",36005015300,20918,"16.80","1.11","50.57",2962
"2000",36005015500,17616,"5.19","0.76","23.71",2779
"2000",36005015700,20676.65337,"15.01","1.15","38.68",3574.103953
"2000",36005015800,33438,"36.89","66.06","1.24",1211
"2000",36005015900,16057.73174,"4.22","0.55","10.37",2170
"2000",36005016000,45828,"68.01","86.34","0.48",5196
"2000",36005016100,16308,"3.37","0.65","37.37",4755
"2000",36005016200,50833,"55.84","70.33","2.09",1719
"2000",36005016300,NA,NA,"2.66","54.15",301
"2000",36005016400,50733,"50.44","81.68","0.91",1212
"2000",36005016500,11442,"2.76","0.97","49.56",1243
"2000",36005016600,41776.00041,"63.28","56.47","2.76",2225.999958
"2000",36005016700,14432,"6.98","0.27","43.08",1822
"2000",36005016900,16591,"14.46","1.22","56.51",1796
"2000",36005017100,NA,NA,"0.00","66.67",3
"2000",36005017300,18375,"5.64","0.81","44.38",4842
"2000",36005017500,14172,"2.25","0.57","47.26",6466
"2000",36005017701,14930.99989,"10.26","2.46","49.75",3954.00009
"2000",36005017702,14930.99963,"10.26","2.46","49.75",4165.000152
"2000",36005017901,17685.00028,"0.86","1.20","31.87",4816.999905
"2000",36005017902,17684.9996,"0.86","1.20","31.87",3408.000095
"2000",36005018101,22514.00074,"4.79","1.67","47.09",2982.999976
"2000",36005018102,22513.99937,"4.79","1.67","47.09",5589.999768
"2000",36005018301,24802.00028,"9.18","1.77","45.52",4637.000014
"2000",36005018302,24801.99965,"9.18","1.77","45.52",3739.999986
"2000",36005018400,44167,"51.36","82.90","0.35",3695
"2000",36005018500,22338.56545,"5.26","1.18","53.12",4750
"2000",36005018900,25163.00025,"5.95","1.89","37.50",6813.58844
"2000",36005019300,14456.98476,"2.63","0.90","42.01",5698.411479
"2000",36005019400,51705,"39.53","47.72","2.46",1666
"2000",36005019500,20402,"2.52","1.69","28.31",7327
"2000",36005019700,22904,"2.80","0.95","24.49",7754
"2000",36005019900,22231,"4.77","0.74","35.56",7880
"2000",36005020000,27512.19035,"14.32","18.00","4.17",4100.000002
"2000",36005020100,21398.00099,"3.52","1.56","41.34",3631.99995
"2000",36005020200,35000,"24.37","21.77","8.11",1824
"2000",36005020400,34024,"20.66","18.45","9.88",2884
"2000",36005020501,21753.57489,"6.89","1.28","48.22",5724.326012
"2000",36005020502,21754.00065,"6.89","1.28","48.23",3592.674266
"2000",36005020601,29831,"29.58","19.24","12.34",2375
"2000",36005020900,19795.87095,"0.74","1.15","27.53",4588.999999
"2000",36005021001,32813.00123,"20.81","5.90","55.05",7050.999892
"2000",36005021002,32812.99901,"20.81","5.90","55.05",8753.000108
"2000",36005021100,19109,"6.29","0.97","37.67",4532
"2000",36005021200,34444,"18.76","5.31","45.91",5232
"2000",36005021301,15603,"3.77","0.48","23.36",1464
"2000",36005021302,24899,"7.57","0.68","40.97",3981
"2000",36005021501,18207,"2.33","0.62","35.61",3690
"2000",36005021502,16768,"3.17","1.12","36.32",6726
"2000",36005021601,33955,"15.86","9.59","19.36",4339
"2000",36005021602,34866,"17.60","5.76","47.61",5293
"2000",36005021700,15065.99999,"2.46","1.19","46.19",4797.00002
"2000",36005021800,26264,"15.98","5.85","27.93",6648
"2000",36005021900,18750,"0.94","1.76","22.26",1307
"2000",36005022000,11190,"6.41","1.73","17.23",1445
"2000",36005022101,20602.99971,"1.01","1.91","19.76",3300.000074
"2000",36005022102,20602.99936,"1.01","1.91","19.76",5141.999926
"2000",36005022200,33117.09258,"16.92","11.04","10.95",3024
"2000",36005022300,19676.99988,"0.83","1.16","27.21",5559.999713
"2000",36005022401,30278,"9.82","28.46","12.20",2607
"2000",36005022403,30982.00035,"7.95","30.69","14.09",3187.000055
"2000",36005022404,30981.99901,"7.95","30.69","14.09",3940.000157
"2000",36005022500,20393,"3.45","1.13","36.63",6926
"2000",36005022701,19219,"8.77","1.25","38.50",3036
"2000",36005022702,19926.05841,"1.43","1.17","30.26",1963.999999
"2000",36005022703,29063,"0.75","1.45","25.62",1585
"2000",36005022800,32871.30303,"7.33","33.75","11.93",5782.484049
"2000",36005022901,25402,"3.75","1.79","25.49",6093
"2000",36005022902,21600,"7.89","0.67","32.78",3112
"2000",36005023000,26042.00005,"19.66","23.82","11.37",2748.515873
"2000",36005023100,15700,"7.36","1.86","28.99",1611
"2000",36005023200,30598,"30.39","36.73","5.96",2333
"2000",36005023301,24094,"1.65","1.42","35.50",4916
"2000",36005023302,31466,"3.22","2.00","28.01",3545
"2000",36005023501,27591,"1.45","1.38","24.56",4405
"2000",36005023502,19504,"3.90","2.32","19.78",5178
"2000",36005023600,29669,"17.61","22.74","12.12",1873
"2000",36005023702,16111,"0.00","3.05","22.03",1212
"2000",36005023703,21368.99974,"2.56","1.98","26.55",4859.999921
"2000",36005023704,21369.00033,"2.56","1.98","26.55",3774.000079
"2000",36005023800,31370.24631,"31.32","37.52","5.87",2335
"2000",36005023900,17548,"2.46","1.36","25.50",8094
"2000",36005024000,29770,"30.08","9.39","21.50",3502
"2000",36005024100,19692,"2.72","1.07","28.73",5955
"2000",36005024300,21029,"7.12","0.65","33.02",5415
"2000",36005024400,45000,"39.20","68.84","0.43",2083
"2000",36005024501,22260.99953,"6.71","1.52","32.40",4895.000128
"2000",36005024502,22260.99964,"6.71","1.52","32.40",3645.000127
"2000",36005024600,51350,"39.13","62.80","2.88",2086
"2000",36005024700,37384.38968,"3.24","1.94","55.48",1931.52811
"2000",36005024800,49063,"26.56","67.00","4.22",3245
"2000",36005024900,63125,"37.04","15.28","25.69",144
"2000",36005025000,38854,"39.37","80.98","0.17",2297
"2000",36005025100,23841,"12.38","1.39","31.65",6639
"2000",36005025200,46563,"40.95","74.60","1.61",2417
"2000",36005025300,20956,"4.13","2.11","21.45",6402
"2000",36005025400,45476,"40.16","82.93","0.85",1886
"2000",36005025500,21135,"2.90","3.69","20.59",6567
"2000",36005025600,34712,"33.05","53.27","8.74",1727
"2000",36005025700,29559.16741,"7.63","2.81","31.65",1512.471902
"2000",36005026100,55438,"56.46","13.58","62.49",1517
"2000",36005026300,26343,"20.66","9.56","25.21",7978
"2000",36005026400,49099,"41.56","73.41","0.77",4798
"2000",36005026500,21306,"5.75","6.87","16.18",6724
"2000",36005026601,31480,"20.61","72.83","1.90",3003
"2000",36005026602,35248,"21.74","65.15","4.08",5266
"2000",36005026701,27378.99917,"3.96","7.16","16.76",3619.999868
"2000",36005026702,27378.99909,"3.96","7.16","16.76",7333.000132
"2000",36005026900,31894.94864,"11.86","5.59","26.26",4098
"2000",36005027300,27819,"10.14","7.93","19.78",7943
"2000",36005027401,49712.00004,"59.79","90.01","0.25",5371.999959
"2000",36005027402,49711.99994,"59.79","90.01","0.25",3117.000041
"2000",36005027600,NA,NA,"71.43","0.00",7
"2000",36005027700,25988,"8.80","11.78","16.71",5339
"2000",36005027900,40308,"20.74","37.33","12.77",7182
"2000",36005028100,39655,"47.22","52.30","15.22",3824
"2000",36005028300,23110.37082,"3.91","13.00","29.56",2248.999967
"2000",36005028400,16249.99935,"17.17","23.13","42.11",857.0000008
"2000",36005028500,35634,"17.11","54.45","6.64",3238
"2000",36005028600,48571,"40.48","70.82","2.44",1268
"2000",36005028700,38446,"23.78","31.81","8.58",3159
"2000",36005028800,54776,"51.74","80.72","0.98",3066
"2000",36005028900,29536.88214,"11.14","31.91","9.71",4628.563775
"2000",36005029301,62726.99832,"53.89","75.74","9.49",1862.999912
"2000",36005029302,62648.20693,"53.56","75.72","9.35",5504.436055
"2000",36005029500,49352,"23.22","67.90","6.76",4081
"2000",36005029600,29426,"7.85","45.01","9.92",3801
"2000",36005029700,59939.99991,"41.94","75.13","5.06",3639.000093
"2000",36005030000,45289,"30.87","67.84","1.69",5862
"2000",36005030100,48333,"33.60","80.99","6.36",1510
