"year","TRTID10","hinc","powner","pwht","pblk","pop"
"1980",36047013500,10369.99992,"17.54","30.17","21.59",3459.999974
"1980",36047013600,16685.99969,"29.56","93.48","0.08",3878.999928
"1980",36047013700,11053.00008,"17.31","53.16","9.33",3431.000026
"1980",36047013800,15624.99988,"25.29","94.74","0.03",3134.999977
"1980",36047013900,13147,"23.68","54.04","8.71",3845
"1980",36047014000,16029.99991,"42.53","95.64","0.00",1970.999989
"1980",36047014100,9973.999963,"28.59","46.76","1.81",2591.99999
"1980",36047014200,14567.99976,"15.79","91.07","0.13",3134.999949
"1980",36047014300,9792.999847,"26.72","44.64","2.35",3274.999949
"1980",36047014500,10120,"21.49","48.69","1.76",3473
"1980",36047014700,9588.000127,"26.52","57.61","3.66",1904.878041
"1980",36047014800,21431.99952,"55.62","98.36","0.00",1463.999967
"1980",36047014900,9521.000018,"29.43","43.31","4.85",5645.000011
"1980",36047015000,18570.99986,"56.11","98.63","0.00",1678.999987
"1980",36047015100,11027.00016,"27.14","55.28","4.01",3493.000052
"1980",36047015200,17972.46776,"49.81","94.50","0.00",2054.00006
"1980",36047015300,17825.99977,"21.73","66.33","9.26",3251.999958
"1980",36047015500,15530.99988,"19.32","65.29","17.23",3736.999972
"1980",36047015700,15675.00012,"16.87","72.10","12.64",4168.000031
"1980",36047015900,16296.00021,"15.62","67.94","18.31",4676.000061
"1980",36047016000,13722.99998,"14.64","89.32","0.40",3521.999995
"1980",36047016100,11475.00009,"15.46","20.56","45.48",3021.000023
"1980",36047016200,15031.46713,"24.66","90.18","1.28",1672.331712
"1980",36047016300,10206.00011,"14.64","15.15","63.99",3532.000039
"1980",36047016400,12521.99969,"0.00","47.25","26.84",1631.636532
"1980",36047016500,20195,"24.51","89.10","3.14",4936
"1980",36047016600,22289.07251,"77.75","99.53","0.00",2318.999992
"1980",36047016700,16357,"18.51","72.36","4.89",4993
"1980",36047016800,16473.99988,"43.14","98.94","0.00",1598.999988
"1980",36047016900,10382.00002,"22.28","65.38","4.65",4992.00001
"1980",36047017000,17888.0002,"47.96","97.50","0.10",2881.000032
"1980",36047017100,17611.0002,"36.56","93.04","0.39",3551.00004
"1980",36047017200,16616.00039,"46.84","97.19","0.00",2843.000066
"1980",36047017400,18737.98251,"53.54","95.80","0.18",1959.205475
"1980",36047017500,NA,NA,NA,NA,0
"1980",36047017600,14463.99947,"23.56","94.52","1.44",1840.794513
"1980",36047017700,NA,NA,NA,NA,0
"1980",36047017800,10355.00008,"28.35","89.12","3.96",2169.000016
