"year","TRTID10","hinc","powner","pwht","pblk","pop"
"1990",36005000100,NA,"0.00","3.22","34.89",14049.99996
"1990",36005000200,31631.99999,"64.66","10.80","21.63",3119.999999
"1990",36005000400,36645.9993,"64.75","8.43","17.26",2237.117471
"1990",36005001600,22738.99998,"14.07","5.77","30.13",5220.999995
"1990",36005001900,11650.85357,"22.04","6.73","16.68",1589.000025
"1990",36005002000,14764.99961,"13.03","1.68","48.44",9109.99976
"1990",36005002300,7924.999723,"1.33","1.59","39.38",4665.000174
"1990",36005002500,8246.000154,"1.99","0.75","23.09",5484.000102
"1990",36005002701,8128.000132,"0.76","0.68","40.11",2921.999869
"1990",36005002702,7140.000106,"0.87","1.27","27.37",4012.00006
"1990",36005002800,33556.99952,"3.96","0.96","79.59",5963.999915
"1990",36005003100,15375.00049,"6.85","0.67","4.45",742.0000238
"1990",36005003300,7954.99997,"2.71","1.09","35.57",3288.999988
"1990",36005003500,14408,"2.90","1.36","26.64",2872
"1990",36005003700,14405,"12.90","6.41","2.56",78
"1990",36005003800,29187.00011,"31.15","1.85","45.12",973.0000036
"1990",36005003900,10917.99981,"4.16","2.07","17.40",5305.999906
"1990",36005004001,27787.9999,"42.83","26.43","15.17",1331.999995
"1990",36005004100,8264.999985,"2.71","1.52","30.29",6179.999988
"1990",36005004200,24623.52342,"6.76","2.65","49.05",7564.554503
"1990",36005004300,11318,"2.03","1.16","19.13",4643
"1990",36005004400,12832.00008,"4.17","3.38","48.31",4964.000032
"1990",36005004600,21905.99977,"1.54","3.56","39.18",1506.445376
"1990",36005004800,15917.00033,"7.73","1.78","13.69",4111.000084
"1990",36005005001,17249.99979,"8.52","1.65","20.96",4634.706503
"1990",36005005002,17250.00017,"8.52","1.65","20.96",5584.293497
"1990",36005005100,9286.707533,"0.87","0.95","42.62",6304.36915
"1990",36005005200,13749.9998,"7.52","1.09","31.30",1919.999971
"1990",36005005300,21822.00013,"0.77","0.68","70.57",4731.724559
