"Address","Type","Neighborhood","Year Built"
"1919 MADISON AVENUE","Income-restricted, HDFC",NA,NA
"192 SKILLMAN STREET","Income-restricted, HDFC",NA,NA
"1922 CROTONA PARKWAY","Income-restricted, HDFC","EAST TREMONT",NA
"1925 3 AVENUE","Limited-equity, Mitchell Lama",NA,NA
"1933 MADISON AVENUE","Income-restricted, HDFC",NA,NA
"194 MANHATTAN AVENUE","Income-restricted, HDFC",NA,NA
"1940 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"1944 LORING PLACE SOUTH","Income-restricted, HDFC",NA,NA
"195 SOUTH 4 STREET","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1920
"1950 HUTCH RIVER PARKWAY EAST","Limited-equity, Mitchell Lama","SCHUYLERVILLE/PELHAM BAY",NA
"1952 ADAM C POWELL BOULEVARD","Income-restricted, HDFC",NA,NA
"1954 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"1954 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"196 AVENUE B","Income-restricted, HDFC",NA,NA
"1961 MAPES AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"1961 WASHINGTON AVENUE","Income-restricted, HDFC",NA,NA
"1964 NEWBOLD AVENUE","Income-restricted, HDFC",NA,NA
"1966 DR M L KING JR BOULEVARD","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1974 CROTONA AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"1981 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"1986 GRAND AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1987 AMSTERDAM AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"199 STANTON STREET","Income-restricted, HDFC",NA,NA
"1993 AMSTERDAM AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"2 ARLINGTON PLACE","Income-restricted, HDFC",NA,NA
"2 DIVISION STREET","Limited-equity, Mitchell Lama",NA,NA
"2 SUNNYSIDE DRIVE YONKERS","Limited-equity",NA,NA
"2 WEBSTER AVENUE","Income-restricted, HDFC","BOROUGH PARK",1931
"20 EAST 116 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"200 CLAREMONT AVENUE","Income-restricted, HDFC","MORNINGSIDE HEIGHTS",NA
"200 KINGSLAND AVENUE","Income-restricted, HDFC",NA,NA
"200 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"2000 DALY AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"2001 LA FONTAINE AVENUE","Income-restricted, HDFC",NA,NA
"2015 GRAND AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"2015 SHORE PARKWAY SR NORTH","Limited-equity, Mitchell Lama",NA,NA
"2016 MARMION AVENUE","Income-restricted, HDFC",NA,NA
"2016 THIRD AVENUE","Income-restricted, HDFC",NA,NA
"2017 GRAND CONCOURSE","Income-restricted, HDFC",NA,NA
"2018 DALY AVENUE","Income-restricted, HDFC",NA,NA
"202 65 STREET","Limited-equity, Mitchell Lama",NA,NA
"202 KINGSLAND AVENUE","Income-restricted, HDFC",NA,NA
"202 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"202 WEST 118 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"2023 BELMONT AVE","Income-restricted, HDFC",NA,NA
"2024 HUGHES AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"2025 VALENTINE AVENUE","Income-restricted, HDFC","FORDHAM",NA
"2031 BARTOW AVENUE","Limited-equity, Mitchell Lama",NA,NA
"2039 ADAM C POWELL BOULEVARD","Income-restricted, HDFC",NA,NA
"2039 HUGHES AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"204 BUSHWICK AVENUE","Income-restricted, HDFC",NA,NA
"204 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"204 WEST 118 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"2041 5 AVENUE","Income-restricted, HDFC",NA,NA
"2042 5 AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"205 EAST 124 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"205 EAST BROADWAY","Income-restricted, HDFC",NA,NA
"206 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"206 WEST 121 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"2061 ADAM C POWELL BOULEVARD","Income-restricted, HDFC",NA,NA
"207 LENOX AVENUE","Income-restricted, HDFC",NA,NA
"207 TROY AVENUE","Income-restricted, HDFC",NA,NA
"207 WEST 144 STREET","Income-restricted, HDFC",NA,NA
"207 WEST 147 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"2070 1 AVENUE","Limited-equity, Mitchell Lama","HARLEM-EAST",NA
"2076 BATHGATE AVENUE","Income-restricted, HDFC",NA,NA
"208 FORSYTH STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"208 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"2084 MADISON AVENUE","Income-restricted, HDFC",NA,NA
"2087 AMSTERDAM AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"2088 MADISON AVENUE","Income-restricted, HDFC",NA,NA
"2089 AMSTERDAM AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"209 EAST 7 STREET","Income-restricted, HDFC",NA,NA
"2091 AMSTERDAM AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS LOWER",NA
"2091 ARTHUR AVENUE","Income-restricted, HDFC",NA,NA
"2094 MADISON AVENUE","Income-restricted, HDFC",NA,NA
"21 AVENUE C","Income-restricted, HDFC",NA,NA
"21 AVENUE D","Income-restricted, HDFC",NA,NA
"21 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"210 EAST 17 STREET","Income-restricted, HDFC","GRAMERCY",NA
"210 FORSYTH STREET","Income-restricted, HDFC",NA,NA
"210 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"211 FRANKLIN STREET","Income-restricted, HDFC",NA,NA
"211 ST JAMES PLACE","Income-restricted, HDFC","CLINTON HILL",1930
"211 WEST 10 STREET","Income-restricted, HDFC","GREENWICH VILLAGE-WEST",NA
"211 WEST 135 STREET","Income-restricted, HDFC",NA,NA
"211 WEST 144 STREET","Income-restricted, HDFC",NA,NA
"2114 BELMONT AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"2116 HONEYWELL AVENUE","Income-restricted, HDFC",NA,NA
"212 EAST TREMONT AVENUE","Income-restricted, HDFC",NA,NA
"212 FORSYTH STREET","Income-restricted, HDFC",NA,NA
"212 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"212 WEST 108 STREET","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"2120 MAPES AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"2122 VALENTINE AVENUE","Income-restricted, HDFC","FORDHAM",NA
"2127 BATHGATE AVENUE","Income-restricted, HDFC",NA,NA
"213 MOTT STREET","Income-restricted, HDFC","LITTLE ITALY",NA
"2130 TIEBOUT AVENUE","Income-restricted, HDFC",NA,NA
"2131 CLINTON AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"2139 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"214 BRADHURST AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"214 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"2141 CROTONA AVENUE","Limited-equity, Mitchell Lama",NA,NA
"2141 PROSPECT AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"2146 CORTELYOU ROAD","Income-restricted, HDFC",NA,NA
"2149 PACIFIC STREET","Income-restricted, HDFC",NA,NA
"215 MOTT STREET","Income-restricted, HDFC","LITTLE ITALY",NA
"2151 5 AVENUE","Income-restricted, HDFC",NA,NA
"2159 1 AVENUE","Income-restricted, HDFC","HARLEM-EAST",NA
"216 EAST 88 STREET","Limited-equity, Mitchell Lama",NA,NA
"216 EAST TREMONT AVENUE","Income-restricted, HDFC",NA,NA
"2161 1 AVENUE","Income-restricted, HDFC",NA,NA
"2163 MORRIS AVENUE","Income-restricted, HDFC","FORDHAM",NA
"21-66 33RD ROAD LONG ISLAND CITY","Limited-equity",NA,NA
"2167 CROTONA AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"2168 2 AVENUE","Income-restricted, HDFC",NA,NA
"217 KINGSLAND AVENUE","Income-restricted, HDFC",NA,NA
"2170 2 AVENUE","Income-restricted, HDFC",NA,NA
"2181 ADAM C POWELL BOULEVARD","Income-restricted, HDFC",NA,NA
"2181 PACIFIC STREET","Income-restricted, HDFC",NA,NA
"2182 ATLANTIC AVENUE","Income-restricted, HDFC","OCEAN HILL",1910
"2185 PACIFIC STREET","Income-restricted, HDFC",NA,NA
"219 EAST 7 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"219 HOPKINSON AVENUE","Income-restricted, HDFC",NA,NA
"219 WEST 144 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"220 EAST 10 STREET","Income-restricted, HDFC","EAST VILLAGE",NA
"220 LEE AVENUE","Income-restricted, HDFC",NA,NA
"221 EAST 173 STREET","Income-restricted, HDFC","MOUNT HOPE/MOUNT EDEN",NA
"223 EAST 3 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"223 EAST 4 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"2245 HUGHES AVENUE","Income-restricted, HDFC",NA,NA
"2247 HUGHES AVENUE","Income-restricted, HDFC",NA,NA
"225 AVENUE T","Limited-equity, Mitchell Lama","GRAVESEND",1960
"225 EAST 4 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"2250 WEBSTER AVENUE","Income-restricted, HDFC","BATHGATE",NA
"226  WEST 111 ST","Income-restricted, HDFC",NA,NA
"226 WEST 113 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"2268 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"227 EAST 14 STREET","Income-restricted, HDFC","GRAMERCY",NA
"227 SOUTH 2 STREET","Income-restricted, HDFC",NA,NA
"227 SOUTH 3 STREET","Income-restricted, HDFC",NA,NA
"2279 5 AVENUE","Limited-equity, Mitchell Lama",NA,NA
"2279 TIEBOUT AVENUE","Income-restricted, HDFC","FORDHAM",NA
"228 CRYSTAL STREET","Income-restricted, HDFC",NA,NA
"2283 2 AVENUE","Income-restricted, HDFC",NA,NA
"2285 2 AVENUE","Income-restricted, HDFC",NA,NA
"229 EAST 14 STREET","Income-restricted, HDFC","GRAMERCY",NA
"229 EAST 4 STREET","Income-restricted, HDFC",NA,NA
"229 LEE AVENUE","Income-restricted, HDFC",NA,NA
"229 WEST 111 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"229 WEST 144 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"229 WEST 148 STREET","Income-restricted, HDFC",NA,NA
"2292 LORING PLACE NORTH","Income-restricted, HDFC",NA,NA
"2296 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"23 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"230 BUSHWICK AVENUE","Income-restricted, HDFC",NA,NA
"230 EAST 95 STREET","Income-restricted, HDFC",NA,NA
"230 LEE AVENUE","Income-restricted, HDFC",NA,NA
"2301 ADAM C POWELL BOULEVARD","Income-restricted, HDFC",NA,NA
"231 5 AVENUE","Income-restricted, HDFC",NA,NA
"231 EAST 10 STREET","Income-restricted, HDFC","EAST VILLAGE",NA
"231 MAUJER STREET","Income-restricted, HDFC",NA,NA
"2310 CLARENDON ROAD","Income-restricted, HDFC","FLATBUSH-CENTRAL",1931
"2316 2 AVENUE","Income-restricted, HDFC",NA,NA
"232 CRYSTAL STREET","Income-restricted, HDFC",NA,NA
"232 MOFFAT STREET","Income-restricted, HDFC",NA,NA
"2323 LORING PLACE NORTH","Income-restricted, HDFC",NA,NA
"2323 NEWKIRK AVENUE","Income-restricted, HDFC","FLATBUSH-CENTRAL",1934
"233 STUYVESANT AVENUE","Income-restricted, HDFC",NA,NA
"2333 GRAND AVENUE","Income-restricted, HDFC","KINGSBRIDGE HTS/UNIV HTS",NA
"234 WEST 106 STREET","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"235 EAST 121 STREET","Income-restricted, HDFC",NA,NA
"236 NEW JERSEY AVENUE","Income-restricted, HDFC",NA,NA
"237 HANCOCK STREET","Income-restricted, HDFC",NA,NA
"237 WEST 135 STREET","Income-restricted, HDFC",NA,NA
"237-39 ELRIDGE STREET","Income-restricted, HDFC",NA,NA
"238 WEST 112 STREET","Income-restricted, HDFC",NA,NA
"2384 MORRIS AVENUE","Income-restricted, HDFC",NA,NA
"2386 ARTHUR AVENUE","Income-restricted, HDFC","BELMONT",NA
"239 EAST 2 STREET","Income-restricted, HDFC",NA,NA
"239 SOUTH 3 STREET","Income-restricted, HDFC",NA,NA
"24 CLINTON STREET","Income-restricted, HDFC",NA,NA
"24 COOPER STREET","Income-restricted, HDFC","INWOOD",NA
"24 ST MARKS PLACE","Income-restricted, HDFC",NA,NA
"240 ECHO PLACE","Income-restricted, HDFC","MOUNT HOPE/MOUNT EDEN",NA
"240 NAGLE AVENUE","Limited-equity, Mitchell Lama",NA,NA
"240 WEST 112 STREET","Income-restricted, HDFC",NA,NA
"2400 BARKER AVENUE","Limited-equity, Mitchell Lama",NA,NA
"2400 DAVIDSON AVENUE","Income-restricted, HDFC","KINGSBRIDGE HTS/UNIV HTS",NA
"241 SOUTH 3 STREET","Income-restricted, HDFC",NA,NA
"241 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"241 WEST 111 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"2410 DAVIDSON AVENUE","Income-restricted, HDFC","KINGSBRIDGE HTS/UNIV HTS",NA
"2414 CRESTON AVENUE","Income-restricted, HDFC","FORDHAM",NA
"2416 NEWKIRK AVENUE","Income-restricted, HDFC","FLATBUSH-CENTRAL",1931
"242 SOUTH 2 STREET","Income-restricted, HDFC",NA,NA
"242 WEST 112 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"2420 BEAUMONT AVENUE","Income-restricted, HDFC","BELMONT",NA
"243F MULBERRY STREET","Income-restricted, HDFC",NA,NA
"244 ELIZABETH STREET","Income-restricted, HDFC",NA,NA
"2440 AMSTERDAM AVENUE","Income-restricted, HDFC","WASHINGTON HEIGHTS UPPER",NA
"2456 ARTHUR AVENUE","Income-restricted, HDFC",NA,NA
"2475 WEST 16 STREET","Limited-equity, Mitchell Lama","GRAVESEND",1963
"248 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"248 PULASKI STREET","Income-restricted, HDFC",NA,NA
"25 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"25 STRATFORD ROAD","Income-restricted, HDFC","FLATBUSH-CENTRAL",1931
"250 EAST 178 STREET","Income-restricted, HDFC","MOUNT HOPE/MOUNT EDEN",NA
"2502 BATCHELDER STREET","Limited-equity, Mitchell Lama",NA,NA
"251 EAST 204 STREET","Income-restricted, HDFC",NA,NA
"2512 ADAM C POWELL BOULEVARD","Income-restricted, HDFC",NA,NA
"252 HEYWARD STREET","Income-restricted, HDFC",NA,NA
"2525 BATCHELDER STREET","Limited-equity, Mitchell Lama",NA,NA
"254 EAST 184 STREET","Income-restricted, HDFC","FORDHAM",NA
"256 MANHATTAN AVENUE","Income-restricted, HDFC",NA,NA
"256 SOUTH 4 STREET","Income-restricted, HDFC",NA,NA
"256 WEST 117 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"26 HAVEMEYER STREET","Income-restricted, HDFC",NA,NA
"26 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"263 DEVOE STREET","Income-restricted, HDFC",NA,NA
"263 SOUTH 2 STREET","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1930
"265 LEE AVENUE","Income-restricted, HDFC",NA,NA
"265 POWERS STREET","Income-restricted, HDFC",NA,NA
"2651 WEST 36 STREET","Limited-equity, Mitchell Lama",NA,NA
"2665 DECATUR AVENUE","Income-restricted, HDFC","BEDFORD PARK/NORWOOD",NA
"2670 VALENTINE AVENUE","Income-restricted, HDFC",NA,NA
"2674 VALENTINE AVENUE","Income-restricted, HDFC","BEDFORD PARK/NORWOOD",NA
"2676 DECATUR AVENUE","Income-restricted, HDFC","BEDFORD PARK/NORWOOD",NA
"268 EAST 181 STREET","Income-restricted, HDFC","FORDHAM",NA
"268 EAST 4 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"269 WEST 153 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"27 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"27 WEST 84 STREET","Income-restricted, HDFC",NA,NA
"270 9 AVENUE","Limited-equity","CHELSEA",NA
"270 CONVENT AVENUE","Income-restricted, HDFC","HARLEM-UPPER",NA
"270 EAST 162 STREET","Income-restricted, HDFC","MELROSE/CONCOURSE",NA
"272 ALEXANDER AVENUE","Income-restricted, HDFC",NA,NA
"272 GATES AVENUE","Income-restricted, HDFC","BEDFORD STUYVESANT",1930
"272 SOUTH 5 STREET","Income-restricted, HDFC",NA,NA
"272 ST JAMES PLACE","Income-restricted, HDFC",NA,NA
"2728 BROADWAY","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"274 ALEXANDER AVENUE","Income-restricted, HDFC",NA,NA
"274 EAST 194 STREET","Income-restricted, HDFC","FORDHAM",NA
"274 SOUTH 2 STREET","Income-restricted, HDFC",NA,NA
"277 GRAND STREET","Income-restricted, HDFC",NA,NA
"2779 8 AVENUE","Income-restricted, HDFC",NA,NA
"279 ALBA AVENUE","Income-restricted, HDFC",NA,NA
"28 CLAVER PLACE","Income-restricted, HDFC",NA,NA
"28 COLUMBUS AVE SPRING VALLEY","Limited-equity",NA,NA
"280 DEAN STREET","Income-restricted, HDFC","BOERUM HILL",1900
"280 MOTT STREET","Income-restricted, HDFC",NA,NA
"281 CLASSON AVENUE","Income-restricted, HDFC",NA,NA
"2814 WEST 8 STREET","Limited-equity, Mitchell Lama",NA,NA
"2820 OCEAN PARKWAY","Limited-equity, Mitchell Lama",NA,NA
"283 PARKSIDE AVENUE","Income-restricted, HDFC","FLATBUSH-LEFFERTS GARDEN",1920
"284 MANHATTAN AVENUE","Income-restricted, HDFC",NA,NA
"285 EAST 4 STREET","Income-restricted, HDFC",NA,NA
"286 WEST 151 STREET","Income-restricted, HDFC",NA,NA
"2865 KINGSBRIDGE TERRACE","Limited-equity, Mitchell Lama","KINGSBRIDGE/JEROME PARK",NA
"289 PARKSIDE AVENUE","Income-restricted, HDFC","FLATBUSH-LEFFERTS GARDEN",1920
"29 CONVENT AVENUE","Income-restricted, HDFC","HARLEM-WEST",NA
"29 WEST 119 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"290 BROOME STREET","Income-restricted, HDFC",NA,NA
"290 EAST 2 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"290 W 232 ST","Limited-equity, Mitchell Lama",NA,NA
"292 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"295 STANHOPE STREET","Income-restricted, HDFC",NA,NA
"298 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"299 MADISON STREET","Limited-equity, Mitchell Lama",NA,NA
"3 EAST 131 STREET","Income-restricted, HDFC",NA,NA
"30 MACOMBS PLACE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"30 WEST 119 STREET","Income-restricted, HDFC",NA,NA
"3000 BRONX PARK EAST","Limited-equity, Mitchell Lama","BRONXDALE",NA
"302 CONVENT AVENUE","Income-restricted, HDFC","HARLEM-UPPER",NA
"302 EAST 119 STREET","Income-restricted, HDFC",NA,NA
"303 EAST 8 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"304 SOUTH 3 STREET","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1915
"305 EAST 171 STREET","Income-restricted, HDFC",NA,NA
"306 EAST 8 STREET","Income-restricted, HDFC",NA,NA
"307 EAST 4 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"307 WEST 107 STREET","Income-restricted, HDFC",NA,NA
"307 WEST 111 STREET","Income-restricted, HDFC",NA,NA
"307 WEST 153 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"308 EAST 120 STREET","Income-restricted, HDFC",NA,NA
"309 EAST HOUSTON STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"309 LAFAYETTE AVENUE","Limited-equity, Mitchell Lama","CLINTON HILL",1963
"31 KINGSLAND AVENUE","Income-restricted, HDFC",NA,NA
"31 PATCHEN AVENUE","Income-restricted, HDFC",NA,NA
"310 EAST 25 STREET","Limited-equity, Mitchell Lama",NA,NA
"310 GATES AVENUE","Income-restricted, HDFC",NA,NA
"310 WEST 122 STREET","Income-restricted, HDFC",NA,NA
"311 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"3115 BROADWAY","Income-restricted, HDFC","MORNINGSIDE HEIGHTS",NA
"312 LINCOLN ROAD","Income-restricted, HDFC",NA,NA
"312 SOUTH 3 STREET","Income-restricted, HDFC",NA,NA
"312 WEST 122 STREET","Income-restricted, HDFC",NA,NA
"312 WEST 49 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"313 EAST HOUSTON STREET","Income-restricted, HDFC",NA,NA
"313 MILFORD STREET","Income-restricted, HDFC",NA,NA
"314 POWERS STREET","Income-restricted, HDFC",NA,NA
"314 WEST 36 STREET","Income-restricted, HDFC",NA,NA
"316 WEST 36 STREET","Income-restricted, HDFC","FASHION",NA
"316 WEST 47 STREET","Income-restricted, HDFC",NA,NA
"3165 BROADWAY","Income-restricted, HDFC","MORNINGSIDE HEIGHTS",NA
"317 EAST 3 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"3177 VILLA AVENUE","Income-restricted, HDFC",NA,NA
"318 EAST 151 STREET","Income-restricted, HDFC","MELROSE/CONCOURSE",NA
"318 UNION AVENUE","Income-restricted, HDFC",NA,NA
"318 WEST 36 STREET","Income-restricted, HDFC","FASHION",NA
"319 BERRIMAN STREET","Income-restricted, HDFC",NA,NA
"319 E 24 ST","Limited-equity",NA,NA
"319 WEST 47 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"32 EAST 2 STREET","Income-restricted, HDFC","EAST VILLAGE",NA
"32 HERKIMER STREET","Income-restricted, HDFC",NA,NA
"320 EAST 151 STREET","Income-restricted, HDFC","MELROSE/CONCOURSE",NA
"320 EAST 4 STREET","Income-restricted, HDFC",NA,NA
"320 STERLING STREET","Income-restricted, HDFC",NA,NA
"320 WEST 53 STREET","Income-restricted, HDFC",NA,NA
"321 PLEASANT AVENUE","Income-restricted, HDFC",NA,NA
"3215 OLINVILLE AVENUE","Income-restricted, HDFC","BRONXDALE",NA
"322 WEST 17 STREET","Income-restricted, HDFC","CHELSEA",NA
"322 WEST 47 STREET","Income-restricted, HDFC",NA,NA
"323 EDGECOMBE AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"323 PLEASANT AVENUE","Income-restricted, HDFC",NA,NA
"323 WEST 43 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"324 WEST 17 STREET","Income-restricted, HDFC","CHELSEA",NA
"325 BEDFORD AVENUE","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1920
"325 PLEASANT AVENUE","Income-restricted, HDFC",NA,NA
"325 WEST 43 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"326 WEST 17 STREET","Income-restricted, HDFC",NA,NA
"326 WEST 43 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"326 WEST 45 STREET","Income-restricted, HDFC",NA,NA
"3260 CRUGER AVENUE","Limited-equity, Mitchell Lama","BRONXDALE",NA
"327 EDGECOMBE AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"327 KEAP STREET","Income-restricted, HDFC",NA,NA
"327 LENOX AVENUE","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"327 PLEASANT AVENUE","Income-restricted, HDFC",NA,NA
"327 PUTNAM AVENUE","Income-restricted, HDFC",NA,NA
"3279 HULL AVENUE","Income-restricted, HDFC","BEDFORD PARK/NORWOOD",NA
"328E EAST 106 STREET","Income-restricted, HDFC",NA,NA
"33 CONVENT AVENUE","Income-restricted, HDFC","HARLEM-WEST",NA
"330 SOUTH 3 STREET","Income-restricted, HDFC",NA,NA
"333 EAST 209 STREET","Income-restricted, HDFC","BEDFORD PARK/NORWOOD",NA
"333 LAFAYETTE AVENUE","Limited-equity, Mitchell Lama","CLINTON HILL",1963
"336 EAST 4 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"340 MANHATTAN AVENUE","Income-restricted, HDFC",NA,NA
"340 SOUTH REGENT ST PORT CHESTER","Limited-equity",NA,NA
"340 ST MARKS AVENUE","Income-restricted, HDFC",NA,NA
"3400 FT INDEPENDENCE STREET","Limited-equity, Mitchell Lama","KINGSBRIDGE/JEROME PARK",NA
"3400 PAUL AVENUE","Limited-equity, Mitchell Lama","KINGSBRIDGE/JEROME PARK",NA
"3401 BROADWAY","Income-restricted, HDFC",NA,NA
"3405 BROADWAY","Income-restricted, HDFC","HARLEM-UPPER",NA
"341 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"342 EAST 139 STREET","Income-restricted, HDFC",NA,NA
"342 WEST 48 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"343 BEDFORD AVENUE","Income-restricted, HDFC","WILLIAMSBURG-SOUTH",1907
"344 SOUTH 3 STREET","Income-restricted, HDFC",NA,NA
"344 WEST 48 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"345 3 STREET","Income-restricted, HDFC",NA,NA
"346 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"346 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"348 EAST 10 STREET","Income-restricted, HDFC",NA,NA
"348 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"3485 BROADWAY","Income-restricted, HDFC","HARLEM-UPPER",NA
"349 SOUTH 1 STREET","Income-restricted, HDFC",NA,NA
"35 KINGSLAND AVENUE","Income-restricted, HDFC",NA,NA
"35 MT MORRIS PARK WEST","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"35 WEST 105 STREET","Income-restricted, HDFC",NA,NA
"350 SOUTH 4 STREET","Income-restricted, HDFC",NA,NA
"350 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"3501 BARNES AVENUE","Limited-equity, Mitchell Lama",NA,NA
"352 WEST 11 STREET","Income-restricted, HDFC",NA,NA
"353 BEACH 57 STREET","Limited-equity, Mitchell Lama",NA,NA
"353 WEST 117 STREET","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"353 WEST 47 STREET","Income-restricted, HDFC","MIDTOWN WEST",NA
"3531 3 AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"354 SOUTH 4 STREET","Income-restricted, HDFC",NA,NA
"354 WEST 48 STREET","Income-restricted, HDFC",NA,NA
"3551 OLINVILLE AVENUE","Limited-equity, Mitchell Lama",NA,NA
"357 WEST 11 STREET","Income-restricted, HDFC",NA,NA
"357E EAST 201 STREET","Income-restricted, HDFC",NA,NA
"36 HAWTHORNE STREET","Income-restricted, HDFC",NA,NA
"36 WEST 138 STREET","Income-restricted, HDFC",NA,NA
"364 ST ANNS AVENUE","Income-restricted, HDFC",NA,NA
"364 WEST 121 STREET","Income-restricted, HDFC",NA,NA
"367 EAST 10 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"3679 BROADWAY","Income-restricted, HDFC",NA,NA
