"Address","Type","Neighborhood","Year Built"
"1102 SIMPSON STREET","Income-restricted, HDFC",NA,NA
"1103 FRANKLIN AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"111 SOUTH 3 STREET","Income-restricted, HDFC",NA,NA
"111 WEST 106 STREET","Income-restricted, HDFC","UPPER WEST SIDE (96-116)",NA
"1111 SOUTHERN BOULEVARD","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"1113 GRANT AVENUE","Income-restricted, HDFC","MELROSE/CONCOURSE",NA
"1116 HOE AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"112 BEDFORD AVENUE","Income-restricted, HDFC",NA,NA
"112 EAST 102 STREET","Income-restricted, HDFC",NA,NA
"112 EAST 98 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"1120 COLLEGE AVENUE","Income-restricted, HDFC",NA,NA
"1120 GRANT AVENUE","Income-restricted, HDFC",NA,NA
"1125 STERLING PLACE","Income-restricted, HDFC","CROWN HEIGHTS",1931
"113 LINDEN STREET","Income-restricted, HDFC",NA,NA
"1131 CROES AVENUE","Income-restricted, HDFC",NA,NA
"113-15 34TH AVENUE CORONA","Limited-equity",NA,NA
"114 EAST 98 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"114 SUFFOLK STREET","Income-restricted, HDFC","LOWER EAST SIDE",NA
"115 SOUTH 8 STREET","Income-restricted, HDFC",NA,NA
"115 SOUTH 9 STREET","Income-restricted, HDFC",NA,NA
"1152 PACIFIC STREET","Income-restricted, HDFC","CROWN HEIGHTS",1910
"1155 HOE AVENUE","Income-restricted, HDFC",NA,NA
"1158 DE KALB AVENUE","Income-restricted, HDFC",NA,NA
"116 CAMBRIDGE PLACE","Income-restricted, HDFC","CLINTON HILL",1930
"1160 COLGATE AVENUE","Income-restricted, HDFC","SOUNDVIEW",NA
"1160 PRESIDENT STREET","Income-restricted, HDFC",NA,NA
"116-01 157 STREET","Limited-equity, Mitchell Lama",NA,NA
"1165 FULTON AVENUE","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"117 EAST 101 STREET","Income-restricted, HDFC",NA,NA
"117 SOUTH 8 STREET","Income-restricted, HDFC",NA,NA
"1175 GERARD AVENUE","Income-restricted, HDFC","MELROSE/CONCOURSE",NA
"118 WEST 123 STREET","Income-restricted, HDFC",NA,NA
"1185 ANDERSON AVENUE","Income-restricted, HDFC",NA,NA
"1185 FULTON AVENUE","Income-restricted, HDFC",NA,NA
"119 GRAND STREET","Income-restricted, HDFC",NA,NA
"1198 PRESIDENT ST","Limited-equity, Mitchell Lama",NA,NA
"12 BLEECKER STREET","Income-restricted, HDFC","BUSHWICK",1931
"12 EAST 132 STREET","Income-restricted, HDFC",NA,NA
"12 ST MARKS PLACE","Income-restricted, HDFC",NA,NA
"12 WEST 107 STREET","Income-restricted, HDFC",NA,NA
"120 BERGEN STREET","Income-restricted, HDFC",NA,NA
"1200 WOODYCREST AVENUE","Income-restricted, HDFC",NA,NA
"1201 SHAKESPEARE AVENUE","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"121 EAST 101 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"1211 WASHINGTON AVENUE","Income-restricted, HDFC",NA,NA
"1212 OCEAN AVENUE","Income-restricted, HDFC","FLATBUSH-CENTRAL",1925
"1218 BOSTON ROAD","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"1218 ST NICHOLAS AVENUE","Income-restricted, HDFC",NA,NA
"122 EAST 107 STREET","Income-restricted, HDFC",NA,NA
"1225 BOSTON ROAD","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"1228 PACIFIC STREET","Income-restricted, HDFC","CROWN HEIGHTS",1905
"123 EAST 101 STREET","Income-restricted, HDFC",NA,NA
"123 EAST 102 STREET","Income-restricted, HDFC","HARLEM-EAST",NA
"1230 BOSTON ROAD","Income-restricted, HDFC","MORRISANIA/LONGWOOD",NA
"1230 SPOFFORD AVENUE","Income-restricted, HDFC","HUNTS POINT",NA
"124 EAST 102 STREET","Income-restricted, HDFC",NA,NA
