"","year","TRTID10","hinc","powner","pwht","pblk","pop","punemp","mrent","pcol","phs","str30old","hh10old","fhh","pov","pfb","pfb10","p18und","p60up"
"1","1980",36047000100,"19273.28","0.30","0.78","0.10","5078.40","0.02","262.74","0.36","0.28","1381.11","1501.13","59.59","1040.44","614.89","164.60","481.39","1102.88"
"2","1980",36047000200,"8077.00","0.15","0.10","0.03","1243.00","0.13","189.00","0.01","0.40","291.00","231.00","130.00","511.00","153.00","15.00","562.00","80.00"
"3","1980",36047000301,"22396.00","0.15","0.89","0.05","5353.00","0.04","299.00","0.42","0.25","2454.00","1768.00","68.00","1093.00","480.00","117.00","550.00","730.00"
"4","1980",36047000501,"17082.00","0.09","0.87","0.05","3425.54","0.04","275.00","0.43","0.26","2160.87","1572.65","39.40","261.37","518.85","137.62","280.24","807.41"
"5","1980",36047000502,"17082.00","0.09","0.87","0.05","2747.46","0.04","275.00","0.43","0.26","1733.13","1261.35","31.60","209.63","416.15","110.38","224.76","647.59"
"6","1980",36047000700,"20629.00","0.17","0.81","0.04","3272.00","0.04","283.00","0.42","0.22","1862.00","1268.00","38.00","275.00","497.00","183.00","426.00","376.00"
"7","1980",36047000900,"16456.00","0.11","0.71","0.11","1805.00","0.02","300.00","0.41","0.20","654.00","635.00","30.00","186.00","287.00","130.00","354.00","205.00"
"8","1980",36047001100,"11289.00","0.09","0.50","0.14","184.00","0.08","151.00","0.34","0.53","102.00","63.00","0.00","21.00","51.00","41.00","20.00","46.00"
"9","1980",36047001300,"20873.00","0.19","0.56","0.30","1609.00","0.02","335.00","0.38","0.34","161.00","748.00","27.00","71.00","240.00","41.00","145.00","313.00"
"10","1980",36047001500,"6408.33","0.02","0.06","0.73","3188.25","0.11","134.86","0.01","0.45","985.80","577.68","388.73","1606.49","143.31","51.36","1221.45","385.80"
"11","1980",36047001800,"7080.00","0.08","0.81","0.09","144.90","0.01","130.12","0.00","0.23","21.43","12.58","12.81","31.42","28.03","13.59","17.37","12.81"
"12","1980",36047002000,"7880.00","0.17","0.06","0.05","1346.00","0.11","189.00","0.00","0.38","409.00","321.00","126.00","539.00","69.00","52.00","601.00","75.00"
"13","1980",36047002100,"14917.00","0.15","0.62","0.05","402.00","0.14","257.00","0.18","0.28","196.00","131.00","6.00","16.00","74.00","18.00","59.00","45.00"
"14","1980",36047002200,"8208.00","0.30","0.26","0.07","3586.00","0.09","191.00","0.04","0.47","883.77","1131.42","308.57","1699.63","594.17","180.75","1166.38","419.42"
"15","1980",36047002300,"8811.00","0.01","0.01","0.79","4950.00","0.21","139.00","0.01","0.38","245.00","675.00","551.00","2276.00","58.00","14.00","2085.00","333.00"
