year,county,TRTID10,hinc,powner,prent,pwht,pblk,phisp,pop,punemp,ohu,multi,mrent,pcol,phs,str30old,hh10old,fhh,pov,ppov,pfb,pfb10,p18und,p60up,ncoops
2000,Bronx County,36005004200,29358.32693,0.10488120866086689,0.843733585300233,0.01795119161692532,0.4796018686828492,0.4899483469956228,7539,0.11329940841165184,2803.712185,2700.464286,474.5430068,0.06853103358535614,0.36942102745722244,2280.693277,1151.241597,716.8130252,2361.214286,0.32425457006301284,920.7247899,367.0945378,2224.495798,1171.657563,0
2000,Bronx County,36005004300,19434,0.11375507835171213,0.7475333720255368,0.006055543954896638,0.20651493004802673,0.7753184380872834,4789,0.19330601092896174,1723,1590,346,0.021925245353936102,0.4272290666109835,664,827,427,1451,0.3091838909013424,949,469,1570,546,3
2000,Bronx County,36005004400,13185,0.04298507462686567,0.9128358208955224,0.013059302076643117,0.4168272318561336,0.5572682509098694,4671,0.2713864306784661,1675,1624,234,0.03382573324769857,0.4029115821023335,1535,753,604,2679,0.5755102040816327,438,149,1630,548,0
2000,Bronx County,36005004600,17975.99975,0.015280136801721524,0.9660442229413447,0.037114846236371936,0.4131652591800356,0.5245098167122665,1418.999979,0.15209790612525287,585.2877808,388.53570559999997,305.999988,0.0728291313103677,0.4516806800460143,582.3067017,195.7584076,128.1869659,506.78570559999997,0.3221730883102882,114.2752075,14.90546227,393.5041809,261.3424377,0
2000,Bronx County,36005004800,19023,0.06716417910447761,0.8922056384742952,0.01957585644371941,0.16612289287656334,0.7784121805328983,3678,0.15916955017301038,1206,1115,528,0.03181076672104405,0.4032082653616096,1066,796,339,1821,0.5155719139297849,1444,743,1276,314,1
2000,Bronx County,36005005001,20384.99971,0.08392759182143796,0.8475041101530574,0.014525139077667514,0.25130352600877315,0.7108938375257625,4871.000047,0.21137106434360947,1653.60022,1529.330688,553.9999964,0.04320297872499692,0.3938547596979729,1496.676025,1038.602417,468.0513916,2069.948242,0.42766116756181216,1883.544067,999.5981445,1671.288208,409.5449829,0
2000,Bronx County,36005005002,20385.00024,0.08392759193137433,0.8475041173714646,0.01452514015380501,0.25130354827249396,0.710893827468395,5868.999953,0.21137104815125063,1992.39978,1842.669312,554.000003,0.043202980172182666,0.3938547393953268,1803.323975,1251.397583,563.9486084,2494.051758,0.4276611709535957,2269.456055,1204.401855,2013.711792,493.4550171,1
2000,Bronx County,36005005100,12336.1875,0.011413855104345772,0.9543902958265484,0.006755204744408945,0.37689761732339366,0.6060525381611643,5634,0.32766825288919105,1930.058824,1907,224.2298616,0.01508697195598154,0.403798367057153,1828,766,731,3113,0.5686883449031787,500,216,2121,741.0294118,0
2000,Bronx County,36005005200,13826,0.07730061349693251,0.8736196319018404,0.012808783165599268,0.3101555352241537,0.6427264409881062,2186,0.14393939393939395,815,749,299,0.024702653247941447,0.4373284537968893,556,426,226,858,0.40625,464,122,707,224,1
2000,Bronx County,36005005300,15527.00025,0.012734990965460399,0.8544572464383863,0.007450132178504194,0.6274934147583681,0.3576063445874367,4159.000008,0.27777779291262494,1648.207397,1673.195435,569.0000031,0.04782504388492418,0.344628705997348,582.7197876,924.5554199,529.7452393,1741.16272,0.41123701969613297,893.5703125,389.812561,1680.192017,325.8433228,0
2000,Bronx County,36005005400,21282,0.15913865546218486,0.7694327731092437,0.013693693693693694,0.290990990990991,0.6189189189189189,5550,0.1770091556459817,1904,1744,578,0.02774774774774775,0.4227027027027027,1786,1007,456,2106,0.38138355668236146,1854,643,1806,602,0
2000,Bronx County,36005005600,12604,0.1044362292051756,0.8345656192236599,0.02214022140221402,0.27638376383763835,0.6394833948339483,2710,0.292896174863388,1082,903,542,0.054243542435424355,0.47158671586715867,972,621,220,979,0.364890048453224,733,327,795,412,0
2000,Bronx County,36005005902,33256,0.18,0.7909090909090909,0.0343027591349739,0.37770320656226697,0.5753169276659209,2682,0.06460674157303371,1100,1101,614,0.12714392244593586,0.3076062639821029,1059,492,228,682,0.25476279417258124,605,245,736,379,0
2000,Bronx County,36005006000,30242,0.07196029776674938,0.8461538461538461,0.02960222016651249,0.13598519888991675,0.8140610545790934,1081,0.05172413793103448,403,353,525,0.034227567067530065,0.4227567067530065,306,282,81,185,0.1712962962962963,469,254,330,96,0
2000,Bronx County,36005006100,30469,0.44635193133047213,0.5426800190748688,0.02079722703639515,0.8150532309977717,0.1554840307006685,4039,0.14784778540237056,2097,2088,514,0.11042337212181233,0.3681604357514236,1810,718,281,628,0.15858585858585858,394,92,753,1270,0
2000,Bronx County,36005006200,16314,0.04726674886970818,0.9021783806000822,0.0142209720268792,0.43959993749023285,0.5244569463978747,6399,0.30289641629847813,2433,2310,408,0.04000625097671511,0.41022034692920767,2194,1243,704,2590,0.4100047490897578,1187,426,2134,862,1
2000,Bronx County,36005006300,23757.98101,0.07169974113229224,0.8618061546686557,0.026048278279346082,0.3175371083572579,0.5976210704167169,5885.000001,0.17509920634920634,2045.294118,1940,581.4079426,0.0399320305794508,0.3925233644192823,1936,1141,462,1897,0.3535221766679091,2130,1041,1626,610.6470588,0
2000,Bronx County,36005006400,35279,0.21988388969521044,0.7213352685050798,0.020418452230904965,0.38064028232921604,0.5376859087471642,3967,0.16341145833333334,1378,1209,730,0.0844466851525082,0.3786236450718427,1131,648,261,853,0.2256016926738958,1295,411,1179,505,0
2000,Bronx County,36005006500,17457,0.02235294117647059,0.9305882352941176,0.03286788399570355,0.2831364124597207,0.6466165413533834,4655,0.18912237330037082,1700,1698,476,0.06659505907626208,0.3851772287862513,684,1087,454,1757,0.373432518597237,1548,946,1523,406,1
2000,Bronx County,36005006700,17353,0.038461538461538464,0.8876748251748252,0.012324757356339547,0.29841318749037127,0.6732398705900478,6491,0.24831168831168832,2288,2194,319,0.010321984285934371,0.43336928054228935,1597,1317,708,2466,0.3821478382147838,1471,819,2358,752,1
2000,Bronx County,36005006800,25966,0.1583747927031509,0.7611940298507462,0.010595200997195388,0.31255842941726397,0.5961358678716111,3209,0.08976660682226212,1206,1102,713,0.06544094733561857,0.38921782486756,934,663,250,880,0.2837794259916156,855,197,988,334,0
2000,Bronx County,36005006900,10576,0.03290799194089993,0.8737407656145064,0.020124913254684247,0.32801295396715247,0.6379828822576914,4323,0.29098360655737704,1489,1478,281,0.03215359703909322,0.4020356234096692,1137,929,496,2701,0.62278072400276685,753,378,1686,452,3
2000,Bronx County,36005007000,32146,0.27834302325581395,0.6635174418604651,0.03173076923076923,0.23149038461538463,0.6086538461538461,4160,0.09313725490196079,1376,1164,653,0.07836538461538461,0.3920673076923077,1275,862,235,991,0.2449938195302843,1179,444,1283,444,0
2000,Bronx County,36005007100,36316,0.4527972027972028,0.5052447552447552,0.021220159151193633,0.29708222811671087,0.6742705570291777,1885,0.1874062968515742,572,510,325,0.05676392572944297,0.36657824933687,162,363,149,597,0.328021978021978,321,157,716,185,1
2000,Bronx County,36005007200,31126,0.18763440860215053,0.7580645161290323,0.07352651291149222,0.1543465405085748,0.560220776660753,5073,0.0665390138822403,1860,1566,617,0.09343583678296866,0.40134042972600037,1690,1064,282,1345,0.2689462107578484,1846,967,1466,643,1
2000,Bronx County,36005007300,21545,0.008,0.9528888888888889,0.009852216748768473,0.2210591133004926,0.7524630541871922,3248,0.14825581395348839,1125,1120,450,0.022783251231527094,0.3999384236453202,932,600,338,1327,0.4095679012345679,920,466,1128,338,0
2000,Bronx County,36005007400,40654,0.31290092658588736,0.632216678545973,0.025121324578932343,0.43848130174136457,0.5049957179560377,3503,0.14445271779597915,1403,1025,637,0.14102198115900658,0.30516699971453043,628,621,229,536,0.16426601287159057,605,179,917,513,0
2000,Bronx County,36005007500,20813,0.21323529411764705,0.7457107843137255,0.007679180887372013,0.3127133105802048,0.6665955631399317,4688,0.1430584918957012,1632,1262,394,0.045008532423208195,0.41275597269624575,1003,997,436,1573,0.33857081360309943,986,300,1525,618,1
2000,Bronx County,36005007600,33121.48973,0.16647727272727272,0.7596590909090909,0.024954351795496044,0.2223574761614932,0.6944613511868534,4929,0.12639593908629443,1760,1526,610.4966343,0.07445729356867518,0.3862852505579225,1462,920,350,1077,0.22119531731361675,1518,393,1477,537,0
2000,Bronx County,36005007700,21958,0.23413566739606126,0.6586433260393874,0.015302218821729151,0.24407039020657995,0.7199693955623565,1307,0.28085106382978725,457,352,513,0.02218821729150727,0.44605967865340473,268,304,114,683,0.44293125810635536,403,201,458,120,0
2000,Bronx County,36005007800,34353,0.23577605826126535,0.7105143377332727,0.08426511100307892,0.1754982984929509,0.6381461675579323,6171,0.09849119865884325,2197,1898,663,0.07049100631988332,0.3532652730513693,1872,1326,438,1205,0.19651011089367254,1585,631,1887,714,0
2000,Bronx County,36005007900,14767,0.02026735661923243,0.9301423027166882,0.014549863595028797,0.2152167323431343,0.7609881782358291,6598,0.24944196428571427,2319,2301,347,0.02712943316156411,0.46241285237950897,1732,1389,610,3247,0.49831184775936155,1689,993,2214,843,1
2000,Bronx County,36005008300,25886,0.08815298507462686,0.8442164179104478,0.009832366215344938,0.17504835589941972,0.8089941972920697,6204,0.15095194922937444,2144,1989,447,0.02611218568665377,0.42327530625402965,1399,1407,631,1789,0.28873466752743704,1902,918,2169,547,8
2000,Bronx County,36005008400,39911,0.563165905631659,0.3744292237442922,0.00962000962000962,0.3718133718133718,0.6017316017316018,2079,0.099601593625498,657,257,793,0.0913900913900914,0.37133237133237135,402,272,103,398,0.18460111317254174,448,61,593,354,0
2000,Bronx County,36005008500,18402.99967,0.0966057413053311,0.8648825293267963,0.019344141042348245,0.23378777411351645,0.7352616194707426,5424.886309,0.3664042026350268,1531.121216,1481.149902,337.9999855,0.03960943160108537,0.4001473996604636,1197.312744,865.5032349,422.7573547,2550.536133,0.5088733897886891,1576.095337,599.6558228,1881.9198,483.7223511,1
2000,Bronx County,36005008600,14409,0.08529214237743452,0.8817998656816656,0.015065053640721297,0.3677242638666971,0.6046564711253138,4381,0.29345955249569705,1489,1369,297,0.02214106368409039,0.396484820817165,1307,755,467,1984,0.45577762462669424,426,138,1613,557,0
2000,Bronx County,36005008700,19614.27349,0.08707322462381392,0.8399628033849356,0.012688971982167596,0.1705164325677166,0.809680625112558,5206.113553,0.21421052021101503,1562.87877,1488.85009,443.9386305,0.028835968438201295,0.3955437888621097,892.6871844,766.496746,468.2426369,2145.463852,0.4306537479483143,1746.904582,797.3441658,1848.080107,643.2776271,5
2000,Bronx County,36005008900,13007,0.09358288770053476,0.82174688057041,0.010741510741510741,0.12508662508662508,0.8586278586278586,2886,0.2348860257680872,1122,1095,348,0.04712404712404712,0.4386694386694387,751,553,205,1326,0.4411177644710579,765,268,890,445,6
2000,Bronx County,36005009000,15769.59601,0.17805975400675106,0.7713164626953313,0.03991481959919343,0.33970490876188303,0.5942546918333776,3669.538028,0.18668454479165164,1223.80513,997.6354637,270.0258095,0.04445422329875907,0.39916879586020737,1042.513725,571.6865425,345,1414.382538,0.4031007155468039,454.7776775,186.5648065,1282.606436,526.4594955,0
2000,Bronx County,36005009200,36589,0.2069151809832523,0.7536466774716369,0.10129177773221243,0.12917777322124258,0.5999589911831044,4877,0.11349693251533742,1851,1664,639,0.10006151322534344,0.38937871642403116,1600,1109,319,951,0.19416088199265005,1482,624,1371,587,0
2000,Bronx County,36005009300,18371.23821,0.0961223375204806,0.8061168760240306,0.01645272102693907,0.24642921713975774,0.7277165069607666,5531,0.2666259914582062,1831,1659,465.0650407,0.02024950280238655,0.36467184957512205,1312,1091,496,2415,0.4493023255813953,1325,521,2143,415,4
2000,Bronx County,36005009600,39218.22353,0.39162929745889385,0.5276532137518685,0.16674606955693186,0.15102429728442116,0.5402572653644593,2099,0.07719714964370546,669,425,694.9688385,0.10004764173415913,0.3982848975702716,603,406,98,165,0.0872093023255814,591,179,592,405,0
2000,Bronx County,36005009800,38642,0.38503740648379053,0.5655860349127182,0.05037919826652221,0.29216323582520765,0.6011195377392561,5538,0.1060938185006576,2005,1212,656,0.10148067894546768,0.37233658360418925,1520,826,330,905,0.16526661796932068,839,154,1507,791,0
2000,Bronx County,36005011502,14167,0.056851311953352766,0.8287172011661808,0.012563421116211646,0.26648949021502777,0.7132157525972457,4139,0.2510566356720203,1372,1317,423,0.015221067890794878,0.36071514858661513,836,942,392,2078,0.5365349857991222,866,437,1563,336,1
2000,Bronx County,36005011700,16605.7986,0.05067567567567568,0.8817567567567568,0.007079646017699115,0.3315634218289086,0.6507374631268437,1695,0.34191176470588236,592,582,533.1149425,0.018289085545722714,0.4359882005899705,463,377,189,826,0.4738955823293173,212,62,574,163,2
2000,Bronx County,36005011800,57650.76524,0.6914492150035659,0.26567405975353664,0.8214404026201031,0.011609626478443292,0.11951139163515712,5058.094576,0.06447530756379215,1827.752634,658.119431,690.0852235,0.14039622358377982,0.3020831927995171,1574.952916,761.724371,98.61791468,217.2831014,0.04871803629040912,524.4378929,50.34103486,989.1531968,891.724371,0
2000,Bronx County,36005011900,16990,0.08604651162790698,0.8686046511627907,0.010849155017734195,0.2603797204256207,0.7122887544335489,4793,0.18030690537084398,1720,1655,346,0.02545378677237638,0.42833298560400584,880,1018,502,2023,0.425,1390,502,1620,556,1
2000,Bronx County,36005012101,21424,0.18642241379310345,0.7273706896551724,0.01633078526754691,0.2571230020847811,0.7195969423210563,2878,0.1621301775147929,928,799,499,0.053856845031271715,0.35267546907574704,485,646,275,1404,0.50304550340379794,554,101,1089,230,2
2000,Bronx County,36005012102,17688,0.01937984496124031,0.9418604651162791,0.008029647930821495,0.16615194564546015,0.8147004323656578,1619,0.17558886509635974,516,539,288,0.014823965410747375,0.4076590487955528,264,322,172,749,0.450661853188929,392,219,599,137,0
2000,Bronx County,36005012300,17901.45905,0.08721259664514998,0.8092224446570414,0.015748591959390604,0.22985385258388827,0.7448114561401232,2920.896047,0.2311212814645309,1100.758419,1072,278.0825887,0.03252426600308929,0.3804925581454628,533.1376282,699.1376282,290,1139.275256,0.39956691434914904,559.1376282,174.1376282,1044.758419,353,0
2000,Bronx County,36005012500,27566,0.310126582278481,0.5810126582278481,0.013650374284456186,0.3720827829150154,0.5711140466754734,2271,0.12888377445339472,790,530,482,0.08102157639806253,0.4081902245706737,331,482,154,732,0.32475598935226263,817,362,692,207,1
2000,Bronx County,36005012701,12342,0.15270935960591134,0.7746305418719212,0.018189692507579038,0.2321351234300563,0.7327847553053269,2309,0.1993006993006993,812,698,311,0.03334776959722824,0.4452143785188393,483,453,187,1210,0.5433318365514145,685,327,754,264,7
2000,Bronx County,36005012901,13214,0.07582938388625593,0.8104265402843602,0.011730205278592375,0.2829912023460411,0.6920821114369502,2728,0.18025078369905956,1055,1009,282,0.036290322580645164,0.42888563049853373,577,582,243,1561,0.5569033178737067,635,328,906,386,2
2000,Bronx County,36005013000,48500,0.5285714285714286,0.38979591836734695,0.6098388464800678,0.006785411365564037,0.31721798134011875,1179,0.1366223908918406,490,371,642,0.1102629346904156,0.37743850720949956,340,219,33,90,0.08014247551202137,191,55,253,267,0
2000,Bronx County,36005013100,13281,0.1297134238310709,0.7164404223227753,0.007104290991759022,0.3327649900539926,0.64563796533106,3519,0.23785926660059464,1326,1226,393,0.051719238420005684,0.38135834043762434,815,742,313,1795,0.518936108701937,944,410,1305,376,2
2000,Bronx County,36005013200,54508.99819,0.618902465365245,0.3336236902931201,0.5720601186913945,0.037842616777009445,0.34040671281973806,5635.905309,0.04728546313229555,2288.247314,1215.880493,706.0000082,0.11193633947195192,0.41715297527189166,1757.046997,1099.275635,182.3820801,378.7168884,0.06748357264535526,719.5620728,100.6589661,1225.846802,1099.275635,0
2000,Bronx County,36005013300,16426,0.0987105380168964,0.8421520675855936,0.006118736563585249,0.46965437406978666,0.5186042665784687,6047,0.19814241486068113,2249,2074,313,0.03919298825864065,0.3846535472134943,1947,1011,661,2505,0.41819699499165275,778,354,2112,889,0
2000,Bronx County,36005013500,14667,0.10091743119266056,0.7597998331943286,0.005758157389635317,0.5371081253998721,0.4468969929622521,3126,0.16584766584766586,1199,1088,374,0.030710172744721688,0.37747920665387075,1005,530,355,1431,0.46057289990344386,493,171,1172,340,0
2000,Bronx County,36005013800,48813,0.6055625790139064,0.3299620733249052,0.6427835051546392,0.01804123711340206,0.29020618556701033,1940,0.05542986425339366,791,246,726,0.11804123711340206,0.3824742268041237,599,358,59,139,0.07077393075356415,335,121,458,312,0
2000,Bronx County,36005014100,13844.51155,0.03573781467644125,0.8253708583285736,0.01962563039293486,0.3605233000090954,0.606830965088013,2313.999998,0.378392619937544,823.0416145,788.4993858,465.9794601,0.01892794540097489,0.3380651435506182,424.0293732,398.0771103,246.1811504,1275.171356,0.588376982366439,385.1811504,227.9559362,942.5116272,190.2533655,1
2000,Bronx County,36005014300,8605.999764,0.03716216366366149,0.9020270254921051,0.013463892707667487,0.4785801895799243,0.5067319275244793,711.9999781,0.36170211334552427,257.958374,247.5006104,428.0000047,0.01713586308325197,0.40269278570080336,223.9706116,142.9228821,75.81884766,475.8286133,0.6363636183576398,75.81884766,20.04406357,281.4883728,62.74663162,1
2000,Bronx County,36005014400,21583.75233,0.13626734720818318,0.8279079436686881,0.09342718942218463,0.36760329199307684,0.5185181959440814,5772.99999,0.15655114005049214,2204.549118,1949.725433,340.5130622,0.0459474114774769,0.39588311916834074,1662.151131,877.4282074,613,2050.216621,0.3577228053610267,416.2468491,89.85390425,1873.196472,904.9949493,0
2000,Bronx County,36005014500,14264,0.013086150490730643,0.9312977099236641,0.008610086100861008,0.550840508405084,0.42988929889298894,4878,0.1965065502183406,1834,1816,323,0.043460434604346045,0.3720787207872079,1629,879,613,2188,0.4534715025906736,663,229,1845,541,3
2000,Bronx County,36005014701,10774.99975,0.013861934707187624,0.9478791121488167,0.007688787439775469,0.504256296273942,0.48009151506548414,5652.000108,0.3054263771870069,1866.06543,1856.753174,269.9999976,0.02370709308910721,0.38947370451819535,1683.442383,892.4210815,690.656311,3158.911865,0.563804238728956,845.8599854,432.500885,2283.045898,578.392334,0
2000,Bronx County,36005014702,10775.00027,0.013861935575212342,0.9478791365490549,0.007688786912647258,0.5042562892963549,0.48009155259812014,5272.999892,0.3054263345108051,1740.93457,1732.246826,270.0000026,0.023707093165250534,0.3894736624432307,1570.557617,832.5789185,644.343689,2947.088135,0.563804256820162,789.1400146,403.499115,2129.954102,539.607666,0
2000,Bronx County,36005014900,14353,0.040918880114860015,0.8528356066044508,0.015812431842966195,0.48091603053435117,0.49482006543075246,3668,0.20202020202020202,1393,1343,402,0.03162486368593239,0.4721919302071974,878,826,354,1444,0.4296340374888426,928,414,1187,436,5
2000,Bronx County,36005015100,18448,0.09085648148148148,0.7893518518518519,0.00801180687328695,0.5279359055450137,0.4448661184904069,4743,0.23098012337217272,1728,1442,514,0.048492515285684164,0.35209782837866327,943,1197,483,2115,0.44961734693877553,1095,552,1750,329,4
2000,Bronx County,36005015200,54609.10469,0.5031610626990607,0.4413879498082499,0.5680050356842989,0.018318245008396305,0.37661612082283796,2382,0.05182724305376161,996.6620722,561.7327702,755.6782916,0.09954102183039464,0.4098950221242653,841.6803026,438.233882,87.52156514,151.6385059,0.06523693205408622,306.2907958,50.4090707,519.8577147,501.8474879,0
2000,Bronx County,36005015300,20918,0.16795865633074936,0.7235142118863049,0.01114112086428089,0.5057393652937204,0.4713031735313977,2962,0.14256410256410257,1161,1029,353,0.04355165428764349,0.4064821066846725,790,734,289,1120,0.3844833504977686,574,265,1003,330,3
2000,Bronx County,36005015500,17616,0.05190989226248776,0.8227228207639569,0.007556675062972292,0.23713566030946384,0.743073047858942,2779,0.16414904330312186,1021,1056,321,0.04390068369917236,0.41093918675782654,765,496,251,1033,0.3693242760100107,830,306,946,319,0
2000,Bronx County,36005015700,20676.65337,0.15009330624198913,0.7424628517488201,0.011471406690783514,0.3868440339681413,0.5927312663141222,3574.103953,0.1971947194719472,1219.241581,1060,503.82307049999997,0.0349738008865351,0.3507510714532371,471.8623718,848.8623718,383,1184.724744,0.3445244479271412,801.8623718,420.8623718,1375.241581,204,1
2000,Bronx County,36005015800,33438,0.36894824707846413,0.5392320534223706,0.6606110652353427,0.012386457473162676,0.2782824112303881,1211,0.05672609400324149,599,400,819,0.07927332782824112,0.5037159372419489,383,381,33,82,0.06466876971608833,259,9,220,361,0
2000,Bronx County,36005015900,16057.73174,0.042232277526395176,0.9487179487179487,0.005529953917050691,0.10368663594470046,0.8815668202764977,2170,0.3064066852367688,663,655,246.5930048,0.04470046082949309,0.44423963133640554,210,319,217,925,0.4314365671641791,733,381,764,236,3
2000,Bronx County,36005016000,45828,0.680073126142596,0.2797074954296161,0.863356428021555,0.00481139337952271,0.11662817551963048,5196,0.01697866782760122,2188,672,741,0.1283679753656659,0.4980754426481909,1747,871,116,444,0.08545034642032333,606,20,987,1153,0
2000,Bronx County,36005016100,16308,0.03373893805309734,0.9247787610619469,0.006519453207150368,0.3737118822292324,0.6105152471083071,4755,0.16091954022988506,1808,1801,387,0.03175604626708728,0.38338590956887486,955,992,560,2025,0.42622605767206906,1031,536,1617,514,2
2000,Bronx County,36005016200,50833,0.5583596214511041,0.37697160883280756,0.7033158813263525,0.020942408376963352,0.2385107620709715,1719,0.04036697247706422,634,367,808,0.10587550901687028,0.445607911576498,561,263,29,83,0.05615696887686062,277,26,334,527,0
2000,Bronx County,36005016300,NA,NA,NA,0.026578073089700997,0.5415282392026578,0.42857142857142855,301,1,0,0,NA,0,0.24916943521594684,0,0,0,154,1,0,0,148,0,0
2000,Bronx County,36005016400,50733,0.5043668122270742,0.45414847161572053,0.8168316831683168,0.009075907590759076,0.1551155115511551,1212,0.05235602094240838,458,288,663,0.11386138613861387,0.37376237623762376,429,248,33,172,0.1451476793248945,161,33,270,287,0
2000,Bronx County,36005016500,11442,0.027649769585253458,0.9101382488479263,0.009654062751407884,0.49557522123893805,0.4786806114239743,1243,0.16352201257861634,434,430,492,0.04746580852775543,0.3572003218020917,171,363,159,585,0.4458841463414634,320,250,464,75,0
2000,Bronx County,36005016600,41776.00041,0.6328217280269974,0.3364816989222698,0.5646954118226448,0.027567808287442926,0.35215651634796663,2225.999958,0.07395832817818229,838.3378906,361.2672119,727.0000214,0.09159626408222961,0.4508670642122268,743.3197021,409.7661133,50.47843552,255.361496,0.1176470619671834,221.709198,39.59092712,470.1422729,469.1524963,0
2000,Bronx County,36005016700,14432,0.06976744186046512,0.8205980066445183,0.0027442371020856204,0.4308452250274424,0.5642151481888035,1822,0.27140549273021003,602,488,556,0.0043907793633369925,0.31668496158068055,252,380,210,993,0.5495296070835639,504,302,725,107,0
2000,Bronx County,36005016900,16591,0.1446280991735537,0.8305785123966942,0.012249443207126948,0.5651447661469933,0.41202672605790647,1796,0.2119089316987741,484,430,490,0.03841870824053452,0.42761692650334077,97,416,176,605,0.4152367879203844,439,176,595,86,0
