year,county,TRTID10,hinc,powner,prent,pwht,pblk,phisp,pop,punemp,ohu,multi,mrent,pcol,phs,str30old,hh10old,fhh,pov,ppov,pfb,pfb10,p18und,p60up,ncoops
2000,Bronx County,36005000100,NA,NA,NA,0.0853677621283255,0.6061815336463223,0.2694053208137715,12780,NA,0,0,NA,0,0.6269170579029734,0,0,0,0,NA,0,0,481,125,0
2000,Bronx County,36005000200,42539,0.5251442704039572,0.4047815333882935,0.05895627644569817,0.22764456981664316,0.6950634696755994,3545,0.07506702412868632,1213,425,712,0.04964739069111425,0.40338504936530323,832,558,199,723,0.20263452914798205,541,159,1093,536,0
2000,Bronx County,36005000400,39013,0.5712996389891697,0.37725631768953066,0.05250452625226312,0.22269161134580567,0.6804465902232951,3314,0.08778346744696415,1108,527,555,0.06910078455039227,0.3536511768255884,703,664,179,417,0.1292221877905175,827,253,1008,368,0
2000,Bronx County,36005001600,24552,0.15704263356718834,0.8197517539125742,0.04773725415314111,0.3102921519954172,0.6205843039908344,5237,0.1505811015664477,1853,1597,537,0.06702310483101012,0.3712048882948253,689,916,479,1112,0.2217347956131605,1048,374,1542,897,0
2000,Bronx County,36005001900,22771.9156,0.16470588235294117,0.6529411764705882,0.05744949494949495,0.29734848484848486,0.6231060606060606,1584,0.4462025316455696,510,420,420.3843844,0.02335858585858586,0.4337121212121212,475,249,64,556,0.40524781341107874,199,91,463,140,1
2000,Bronx County,36005002000,14691,0.14714240606251974,0.8184401641932428,0.014336127040141155,0.42710630789589765,0.5447728275253639,9068,0.1755485893416928,3167,2743,248,0.03330392589325099,0.3949051610057345,2466,1356,998,4118,0.45929065358019183,1629,724,3180,1154,0
2000,Bronx County,36005002300,14112,0.006993006993006993,0.8902635825712749,0.011526048870447211,0.355463347164592,0.6251728907330567,4338,0.3006482982171799,1859,1820,216,0.03503918856615952,0.42208390963577685,1678,961,469,1721,0.3997677119628339,595,270,1462,759,1
2000,Bronx County,36005002500,12221,0.01773604590505999,0.8821074595722483,0.007829320806420043,0.19064396163632805,0.7903699354081033,5109,0.21266968325791855,1917,1820,294,0.017615971814445096,0.4366803679780779,1448,990,490,2485,0.49004141195030565,1387,850,1753,589,1
2000,Bronx County,36005002701,12898,0.009624639076034648,0.944177093358999,0.004615891856247939,0.3405868776788658,0.6485328058028355,3033,0.2657856093979442,1039,1039,248,0.0530827563468513,0.3705901747444774,890,448,374,1596,0.5305851063829787,427,276,1212,312,0
2000,Bronx County,36005002702,12654,0.030095759233926128,0.8515731874145007,0.011402027027027027,0.23479729729729729,0.7489442567567568,4736,0.36214285714285716,1462,1417,298,0.016258445945945946,0.39125844594594594,901,736,520,2870,0.6254085857485291,920,505,1922,315,0
2000,Bronx County,36005002800,34234,0.05969534787978592,0.9106628242074928,0.01224204267226303,0.7778943686603708,0.20199370409233997,5718,0.09492444788841534,2429,2277,584,0.0912906610703043,0.36866037075900665,1534,928,488,833,0.1465775118775295,706,228,1478,926,0
2000,Bronx County,36005003100,27330,0.021032504780114723,0.8891013384321224,0.016238159675236806,0.2070365358592693,0.7672530446549392,1478,0.09778597785977859,523,533,550,0.07442489851150202,0.38159675236806495,279,407,134,350,0.23442732752846618,558,331,498,134,1
2000,Bronx County,36005003300,11322,0.06497175141242938,0.8248587570621468,0.014762516046213094,0.2086007702182285,0.7647625160462131,3116,0.2493368700265252,1062,950,265,0.016046213093709884,0.40853658536585363,602,607,354,1840,0.5972086984745213,741,308,1234,247,0
2000,Bronx County,36005003500,18736,0.05108877721943048,0.8961474036850922,0.006910452058738843,0.2530953066513101,0.7350993377483444,3473,0.19547511312217195,1194,1126,398,0.04319032536711777,0.3947595738554564,1007,643,346,1493,0.43426410703897617,829,337,1225,336,0
2000,Bronx County,36005003700,23750,0.011904761904761904,0.8928571428571429,0.006276150627615063,0.36401673640167365,0.6213389121338913,478,0.06382978723404255,168,170,609,0.04602510460251046,0.401673640167364,73,154,73,222,0.441351888667992,80,23,210,13,0
2000,Bronx County,36005003800,47647,0.3302325581395349,0.6348837209302326,0.034045922406967535,0.34837688044338877,0.5961995249406176,1263,0.12637362637362637,430,375,642,0.04433887569279493,0.37292161520190026,188,224,98,402,0.30271084337349397,48,0,375,164,0
2000,Bronx County,36005003900,15893,0.05725524475524475,0.8570804195804196,0.014613085353703089,0.18681501162404518,0.7879442045831949,6022,0.19220501868659903,2288,2056,340,0.017270009963467288,0.4755895051477914,1523,1374,460,2535,0.4227818545697131,1706,900,1908,773,3
2000,Bronx County,36005004001,29545,0.3989547038327526,0.554006968641115,0.15211267605633802,0.18450704225352113,0.5091549295774648,1420,0.06985294117647059,574,500,595,0.13732394366197184,0.4647887323943662,493,279,59,382,0.27985347985347986,481,120,327,278,0
2000,Bronx County,36005004100,12970,0.03724780134505949,0.892395240558717,0.009923664122137405,0.2540076335877863,0.7280534351145038,5240,0.20694349897889722,1933,1794,267,0.013549618320610687,0.4351145038167939,1333,861,561,2643,0.5070990023023791,971,317,1776,649,0
