year,county,TRTID10,hinc,prent,powner,pwht,pblk,phisp,pop,punemp,ohu,multi,mrent,pcol,phs,str30old,hh10old,fhh,pov,ppov,pfb,pfb10,p18und,p60up,ncoops
2010,Bronx County,36005000100,NA,NA,NA,0.07050761879000991,0.5597331169416644,0.34072671535479215,11091,NA,0,0,NA,0.011450725813722838,0.48219276891173024,0,0,0,0,NA,15.8607945796119,646,367,157,0
2010,Bronx County,36005000200,71250,0.43823326432022086,0.4941338854382333,0.029995385325334564,0.233502538071066,0.6905860636825104,4334,0.09465020576131687,1449,674,1167,0.12921089063221042,0.2976465159206276,1193,836,253,846,0.17973231357552583,25.5809040980144,207,1200,674,0
2010,Bronx County,36005000400,75833,0.32317393589069887,0.6153441933788755,0.03434490278030165,0.2480465200799564,0.6823550790477921,5503,0.05379310344827586,1903,697,1313,0.17772124295838634,0.2658549881882609,837,998,325,420,0.08072266000384394,23.3928228746882,350,1530,685,0
2010,Bronx County,36005001600,32328,0.808095952023988,0.1539230384807596,0.03455608718766613,0.32854864433811803,0.6170476696792486,5643,0.03879310344827586,2001,1686,769,0.07673223462697147,0.34786461102250577,1697,986,471,861,0.1764344262295082,28.0280866003511,550,1522,1062,0
2010,Bronx County,36005001900,29491,0.8333333333333334,0.07425742574257425,0.09754825247782994,0.261867501304121,0.6186750130412102,1917,0.1616062683643487,606,658,956,0.099113197704747,0.43140323422013566,443,588,73,1105,0.4654591406908172,28.9256198347107,402,483,151,1
2010,Bronx County,36005002000,22706,0.8350877192982457,0.12791068580542264,0.012827854770358492,0.35517122895430076,0.6140190127133204,8731,0.10785241248817408,3135,2652,486,0.07330202725919138,0.3891879509792693,3013,1524,885,3191,0.37607542722451387,20.1220227619383,493,2578,1331,0
2010,Bronx County,36005002300,13556,0.9887829500841279,0.0061693774537296695,0.008311372390026352,0.33002229880397327,0.6533549564159741,4933,0.13992042440318303,1783,1983,346,0.02574498276910602,0.46827488343807017,1931,1035,585,2519,0.5273184006698765,19.1044151496129,264,1578,840,1
2010,Bronx County,36005002500,14776,0.8904452226113057,0.022011005502751375,0.014205062830085595,0.1822983063194318,0.7920233108723366,5491,0.16143497757847533,1999,1996,449,0.018575851393188854,0.41212893826261154,1692,1016,467,2455,0.5143515608631888,34.0229885057471,507,1603,694,1
2010,Bronx County,36005002701,26272,0.9665116279069768,0.0027906976744186047,0.008994539029874718,0.32412463861227114,0.6585287504015419,3113,0.18555900621118013,1075,1105,599,0.07838098297462255,0.4333440411178927,1042,517,380,1371,0.44225806451612903,18.5161290322581,332,1034,377,0
2010,Bronx County,36005002702,20563,0.8791606367583212,0.05426917510853835,0.009162011173184357,0.2241340782122905,0.7564245810055866,4475,0.14004499437570303,1382,1469,663,0.03709497206703911,0.383463687150838,1200,798,434,2102,0.4663856223652097,32.9364235594302,661,1552,443,0
2010,Bronx County,36005002800,49583,0.8678304239401496,0.1055694098088113,0.008055853920515575,0.761546723952739,0.22180451127819548,5586,0.08713692946058091,2406,2341,869,0.12280701754385964,0.36609380594343,2348,914,415,509,0.087008547008547,20.3485392106612,445,1231,1262,0
2010,Bronx County,36005003100,34250,0.7822141560798548,0.14882032667876588,0.005009392611145898,0.34627426424546026,0.6374452097683156,1597,0.12353923205342238,551,550,854,0.08453350031308704,0.3024420788979336,472,257,112,322,0.2569832402234637,39.3455706304868,173,480,156,1
2010,Bronx County,36005003300,21282,0.8237774030354131,0.09696458684654301,0.009961910342806914,0.26135364781716963,0.7222384998535013,3413,0.20758620689655172,1186,1109,445,0.07442133020802813,0.38675651919132725,727,655,367,1684,0.4598580010922993,32.2633297062024,222,1093,366,0
2010,Bronx County,36005003500,21359,0.9075443786982249,0.03476331360946745,0.010901356022334486,0.2416910396171231,0.7410263227864929,3761,0.1498028909329829,1352,1286,538,0.04387131082159,0.4256846583355491,1251,601,356,1379,0.3723002159827214,32.8571428571429,394,1061,474,0
2010,Bronx County,36005003700,26116,0.8088235294117647,0.007352941176470588,0.0326530612244898,0.3183673469387755,0.6489795918367347,245,0.12307692307692308,136,83,799,0,0.49387755102040815,34,66,21,59,0.26222222222222225,0,8,66,26,0
2010,Bronx County,36005003800,37125,0.6643518518518519,0.29398148148148145,0.01977848101265823,0.34810126582278483,0.6020569620253164,1264,0.17025440313111545,432,306,761,0.10680379746835443,0.28560126582278483,313,170,95,607,0.41746905089408526,22.0082530949106,118,329,167,0
2010,Bronx County,36005003900,23528,0.847009735744089,0.0737134909596662,0.025019305019305018,0.14841698841698842,0.8137451737451737,6475,0.1318717277486911,2157,2059,776,0.056061776061776064,0.4495752895752896,1396,1377,373,2432,0.36654107008289377,36.8475991649269,1140,1799,841,3
2010,Bronx County,36005004001,46418,0.5208333333333334,0.4097222222222222,0.07535211267605633,0.16338028169014085,0.5112676056338028,1420,0.07516339869281045,576,438,991,0.16126760563380282,0.3323943661971831,551,233,67,290,0.2050919377652051,46.8882602545969,207,326,331,0
2010,Bronx County,36005004100,18590,0.8943831012962074,0.0513682189150264,0.017137261302431858,0.24922474294108046,0.7261302431858985,6127,0.1658206429780034,2083,2031,514,0.038354822914966544,0.33246286926717805,2079,953,598,2993,0.4789566330612898,21.5813658691174,553,1884,842,0
2010,Bronx County,36005004200,26378,0.8692976104272266,0.11513396089790007,0.011199776004479911,0.4276914461710766,0.5527089458210835,7143,0.08802961744138214,2762,2783,593,0.08875822483550329,0.35251294974100517,2524,1293,679,1762,0.2609597156398104,10.4117298578199,169,1894,1365,0
