Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles
3-00212-0001,140 CADMAN PLAZA WEST,BROOKLYN HEIGHTS,D4    -ELEVATOR,      250,1967,"352,698","      5,378,645",     15.25,"      1,834,030",5.20,"      3,544,615","     25,462,000",     72.19,3-00167-0013,333 SCHERMERHORN STREET,DOWNTOWN-FULTON MALL,D7    -ELEVATOR,      757,2014,"662,532","8,818,301",     13.31,"4,975,615",7.51,"3,842,686", 185953000,    280.67,1.06,3-02108-0021,25 LAFAYETTE AVENUE,FORT GREENE,D7    -ELEVATOR,       36,1900,"    27,144","507,050",     18.68,"171,550",6.32,"335,500","6,583,000",    242.52,1.15,3-02166-0001,111 CLYMER STREET,WILLIAMSBURG-CENTRAL,D6    -ELEVATOR,      536,1974,"   559,464","8,531,826",     15.25,"2,909,213",5.20,"5,622,613","61,288,000",    109.55,1.38
3-00216-0003,55 HICKS STREET,BROOKLYN HEIGHTS,C6    -WALK-UP,       30,1900,"17,245","        763,264",     44.26,"        242,637",14.07,"        520,627","      4,169,000",    241.75,3-00258-0048,42 COLUMBIA PLACE,BROOKLYN HEIGHTS,C1    -WALK-UP,       20,1900,"11,160","508,561",     45.57,"120,640",10.81,"387,922","3,104,000",    278.14,0.59,3-00243-0029,90 PIERREPONT STREET,BROOKLYN HEIGHTS,C1    -WALK-UP,       20,1900,"    11,580","493,887",     42.65,"98,777",8.53,"395,110","3,165,000",    273.32,0.33,3-00263-0045,20 SIDNEY PLACE,BROOKLYN HEIGHTS,C1    -WALK-UP,       25,1890,"    12,024","607,212",     50.50,"165,450",13.76,"441,762","3,522,000",    292.91,0.53
3-00217-0001,75 HENRY STREET,BROOKLYN HEIGHTS,D4    -ELEVATOR,      370,1967,"593,599","     24,106,055",     40.61,"      9,159,233",15.43,"     14,946,823","    119,796,000",    201.81,3-00255-0020,165 JORALEMON STREET,BROOKLYN HEIGHTS,D5    -ELEVATOR,       46,1930,"51,276","2,740,189",     53.44,"599,416",11.69,"2,140,773","17,021,000",    331.95,0.4,3-00250-0016,153 REMSEN STREET,BROOKLYN HEIGHTS,D7    -ELEVATOR,       62,2015,"    84,028","4,466,088",     53.15,"1,010,857",12.03," 3,455,231","27,494,000",    327.20,0.35,3-00278-0011,215 PACIFIC STREET,BOERUM HILL,D7    -ELEVATOR,       11,1900,"    11,416","427,187",     37.42,"106,740",9.35,"320,447","2,568,000",    224.95,0.67
3-00221-0033,73 ORANGE STREET,BROOKLYN HEIGHTS,C6    -WALK-UP,       16,1925,"13,428","        544,774",     40.57,"        190,678",14.20,"        354,096","      2,838,000",    211.35,3-00274-0035,88 STATE STREET,BROOKLYN HEIGHTS,C1    -WALK-UP,       14,1910,"9,504","389,854",     41.02,"118,420",12.46,"271,434","2,175,000",    228.85,0.57,3-00254-0015,129 JORALEMON STREET,BROOKLYN HEIGHTS,C1    -WALK-UP,       15,1900,"     7,917","354,523",     44.78,"83,841",10.59,"270,682","2,166,000",    273.59,0.41,3-00216-0014,58 MIDDAGH STREET,BROOKLYN HEIGHTS,C1    -WALK-UP,       16,1900,"     8,456","291,478",     34.47,"73,905",8.74,"217,573","1,743,000",    206.13,0.07
3-00229-0006,129 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D4    -ELEVATOR,       37,1900,"48,450","      2,114,843",     43.65,"        867,255",17.90,"      1,247,588","      9,993,000",    206.25,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       29,1920,"24,570","969,532",     39.46,"494,840",20.14,"474,692","3,806,000",    154.90,0.07,3-00247-0001,222 HICKS STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       14,1900,"    11,800","516,604",     43.78,"129,092",10.94,"387,512","3,103,000",    262.97,0.25,3-00224-0005,107 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,      158,1960,"   149,499","7,015,988",     46.93,"2,330,689",15.59,"4,685,299","37,462,000",    250.58,0.07
3-00230-0017,35 CLARK STREET,BROOKLYN HEIGHTS,D4    -ELEVATOR,       34,1923,"37,800","      1,491,588",     39.46,"        671,328",17.76,"        820,260","      6,576,000",    173.97,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       29,1920,"24,570","969,532",     39.46,"494,840",20.14,"474,692","3,806,000",    154.90,0.02,3-00247-0001,222 HICKS STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       14,1900,"    11,800","516,604",     43.78,"129,092",10.94,"387,512","3,103,000",    262.97,0.24,3-00224-0005,107 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,      158,1960,"   149,499","7,015,988",     46.93,"2,330,689",15.59,"4,685,299","37,462,000",    250.58,0.09
3-00231-0019,44 PINEAPPLE STREET,BROOKLYN HEIGHTS,D4    -ELEVATOR,      275,1929,"441,063","     19,715,516",     44.70,"      6,902,636",15.65,"     12,812,880","    102,553,000",    232.51,3-00255-0020,165 JORALEMON STREET,BROOKLYN HEIGHTS,D5    -ELEVATOR,       46,1930,"51,276","2,740,189",     53.44,"599,416",11.69,"2,140,773","17,021,000",    331.95,0.36,3-00250-0016,153 REMSEN STREET,BROOKLYN HEIGHTS,D7    -ELEVATOR,       62,2015,"    84,028","4,466,088",     53.15,"1,010,857",12.03," 3,455,231","27,494,000",    327.20,0.33,3-02049-0002,343 GOLD STREET,DOWNTOWN-METROTECH,D7    -ELEVATOR,      632,2011,"   629,064","27,634,782",     43.93,"5,944,655",9.45,"21,690,127", 173755000,    276.21,0.65
3-00234-0019,177 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,C6    -WALK-UP,       29,1925,"16,250","        693,063",     42.65,"        242,613",14.93,"        450,450","      3,608,000",    222.03,3-00258-0048,42 COLUMBIA PLACE,BROOKLYN HEIGHTS,C1    -WALK-UP,       20,1900,"11,160","508,561",     45.57,"120,640",10.81,"387,922","3,104,000",    278.14,0.33,3-00243-0029,90 PIERREPONT STREET,BROOKLYN HEIGHTS,C1    -WALK-UP,       20,1900,"    11,580","493,887",     42.65,"98,777",8.53,"395,110","3,165,000",    273.32,0.2,3-00263-0045,20 SIDNEY PLACE,BROOKLYN HEIGHTS,C1    -WALK-UP,       25,1890,"    12,024","607,212",     50.50,"165,450",13.76,"441,762","3,522,000",    292.91,0.34
3-00234-0059,128 WILLOW STREET,BROOKLYN HEIGHTS,D4    -ELEVATOR,       33,1925,"44,100","      1,740,186",     39.46,"        609,021",13.81,"      1,131,165","      9,066,000",    205.58,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       29,1920,"24,570","969,532",     39.46,"494,840",20.14,"474,692","3,806,000",    154.90,0.08,3-00247-0001,222 HICKS STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       14,1900,"    11,800","516,604",     43.78,"129,092",10.94,"387,512","3,103,000",    262.97,0.16,3-00224-0005,107 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,      158,1960,"   149,499","7,015,988",     46.93,"2,330,689",15.59,"4,685,299","37,462,000",    250.58,0.16
3-00235-0004,35 PIERREPONT STREET,BROOKLYN HEIGHTS,D4    -ELEVATOR,       33,1929,"45,664","      1,801,901",     39.46,"        630,620",13.81,"      1,171,282","      9,388,000",    205.59,3-00235-0042,36 CLARK STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       29,1920,"24,570","969,532",     39.46,"494,840",20.14,"474,692","3,806,000",    154.90,0.12,3-00247-0001,222 HICKS STREET,BROOKLYN HEIGHTS,D1    -ELEVATOR,       14,1900,"    11,800","516,604",     43.78,"129,092",10.94,"387,512","3,103,000",    262.97,0.1,3-00224-0005,107 COLUMBIA HEIGHTS,BROOKLYN HEIGHTS,D1    -ELEVATOR,      158,1960,"   149,499","7,015,988",     46.93,"2,330,689",15.59,"4,685,299","37,462,000",    250.58,0.22
