Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles
1-00567-0019,40 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,83,1926,"101,840","5,412,796",53.15,"1,529,637",15.02,"3,883,159","31,351,000",307.85,1-00548-0070,300 MERCER STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,486,1976,"489,709","26,155,358",53.41,"9,250,603",18.89,"16,904,755",165504000,337.96,0.19,1-00548-0001,1 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,270,1930,"218,985","11,479,194",52.42,"3,751,213",17.13,"7,727,981","51,434,000",234.87,0.13,1-00558-0013,110 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,21,1900,"25,850","1,373,928",53.15,"388,267",15.02,"985,661","7,173,000",277.49,0.31
1-00568-0004,39 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,60,1922,"62,409","3,086,125",49.45,"898,690",14.40,"2,187,435","17,733,000",284.14,1-00563-0026,40 EAST 12 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,25,1900,"24,198","1,096,895",45.33,"281,907",11.65,"814,989","6,626,000",273.82,0.11,1-00572-0038,20 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,115,1940,"132,420","7,092,415",53.56,"2,000,866",15.11,"5,091,549","41,103,000",310.40,0.18,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00568-0006,41 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,92,1924,"95,117","5,153,439",54.18,"2,045,967",21.51,"3,107,472","25,068,000",263.55,1-00572-0038,20 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,115,1940,"132,420","7,831,319",59.14,"2,530,546",19.11,"5,300,773","41,103,000",310.40,0.18,1-00564-0004,107 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D8  -ELEVATOR,47,1940,"43,395","2,321,199",53.49,"833,618",19.21,"1,487,581","8,422,000",194.08,0.14,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,88,1924,"63,943","3,464,432",54.18,"1,375,414",21.51,"2,089,018","15,488,000",242.22,0.15
1-00568-0011,16 EAST 11 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,16,1900,"18,616","803,653",43.17,"321,498",17.27,"482,154","3,925,000",210.84,1-00573-0011,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,27,1910,"20,797","978,291",47.04,"256,635",12.34,"721,656","5,860,000",281.77,0.15,1-00612-0033,29 CHARLES STREET,GREENWICH VILLAGE-WEST,D3  -ELEVATOR,37,1914,"27,108","1,159,409",42.77,"412,313",15.21,"747,096","6,081,000",224.32,0.44,1-00592-0082,129 WEST WASHINGTON PLACE,GREENWICH VILLAGE-WEST,D3  -ELEVATOR,52,1924,"38,214","1,649,698",43.17,"436,404",11.42,"1,213,295","9,876,000",258.44,0.36
1-00568-0024,60 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,62,1926,"56,252","3,319,993",59.02,"1,134,040",20.16,"2,185,953","17,535,000",311.72,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,88,1924,"63,943","3,131,928",48.98,"1,221,311",19.10,"1,910,617","15,488,000",242.22,0.15,1-00557-0022,70 EAST 12 STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,62,1987,"42,000","2,900,100",69.05,"864,360",20.58,"2,035,740","16,379,000",389.98,0.2,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00568-0026,15 EAST 10 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,40,1910,"36,366","1,556,465",42.80,"563,309",15.49,"993,155","8,084,000",222.30,1-00573-0019,42 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D7  -ELEVATOR,47,1917,"39,782","1,692,326",42.54,"712,496",17.91,"979,831","7,981,000",200.62,0.15,1-00576-0076,71 WEST 12 STREET,GREENWICH VILLAGE-CENTRAL,D7  -ELEVATOR,47,1922,"37,824","1,628,323",43.05,"494,360",13.07,"1,133,964","9,230,000",244.02,0.18,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00569-0001,43 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,42,1905,"64,218","3,099,803",48.27,"870,154",13.55,"2,229,649","18,089,000",281.68,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,54,1900,"49,408","2,384,924",48.27,"669,478",13.55,"1,715,446","13,621,000",275.68,0.05,1-00220-0027,36 LAIGHT STREET,TRIBECA,D1  -ELEVATOR,14,1900,"26,712","1,333,463",49.92,"470,131",17.60,"863,332","6,789,000",254.16,1.06,1-00882-0056,142 EAST 27 STREET,GRAMERCY,D1  -ELEVATOR,42,1930,"30,777","1,464,985",47.60,"491,816",15.98,"973,169","5,526,000",179.55,0.78
1-00569-0003,45 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,65,1925,"45,248","2,041,590",45.12,"757,904",16.75,"1,283,686","10,440,000",230.73,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,54,1900,"49,408","2,172,470",43.97,"642,304",13.00,"1,530,166","13,621,000",275.68,0.05,1-00573-0011,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,27,1910,"20,797","942,728",45.33,"239,997",11.54,"702,731","5,860,000",281.77,0.18,1-00543-0048,136 WEST 4 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,30,1929,"20,874","941,835",45.12,"349,640",16.75,"592,195","4,523,000",216.68,0.44
1-00569-0005,49 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,89,1929,"121,128","6,092,738",50.30,"1,987,710",16.41,"4,105,028","33,250,000",274.50,1-00572-0038,20 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,115,1940,"132,420","7,092,415",53.56,"2,000,866",15.11,"5,091,549","41,103,000",310.40,0.21,1-00548-0001,1 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,270,1930,"218,985","10,301,054",47.04,"3,965,818",18.11,"6,335,236","51,434,000",234.87,0.21,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00572-0017,38 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,54,1900,"73,098","2,995,556",40.98,"1,048,225",14.34,"1,947,331","15,863,000",217.01,1-00592-0042,84 GROVE STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,20,1885,"16,400","721,928",44.02,"279,128",17.02,"442,800","3,605,000",219.82,0.19,1-00635-0026,772 GREENWICH STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,90,1950,"70,350","2,882,943",40.98,"1,033,442",14.69,"1,849,502","15,067,000",214.17,0.56,1-00901-0021,237 EAST 20 STREET,GRAMERCY,D3  -ELEVATOR,72,1929,"74,120","2,618,660",35.33,"1,223,721",16.51,"1,394,938","11,359,000",153.25,0.8
1-00573-0039,28 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,153,1923,"168,806","8,894,388",52.69,"3,045,260",18.04,"5,849,128","47,263,000",279.98,1-00572-0026,24 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL,D9  -ELEVATOR,50,1923,"46,137","2,425,422",52.57,"811,550",17.59,"1,613,872","15,426,000",334.35,0.05,1-00573-0019,42 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D7  -ELEVATOR,47,1917,"39,782","2,004,615",50.39,"731,591",18.39,"1,273,024","7,981,000",200.62,0,1-00572-0038,20 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,115,1940,"132,420","6,954,698",52.52,"2,388,857",18.04,"4,565,842","41,103,000",310.40,0.05
1-00573-0043,24 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,426,1926,"269,119","14,414,014",53.56,"3,958,740",14.71,"10,455,273","84,412,000",313.66,1-00572-0038,20 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,115,1940,"132,420","7,092,415",53.56,"2,000,866",15.11,"5,091,549","41,103,000",310.40,0.05,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,88,1924,"63,943","3,131,928",48.98,"1,221,311",19.10,"1,910,617","15,488,000",242.22,0.09,1-00572-0026,24 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL,D9  -ELEVATOR,50,1923,"46,137","2,795,902",60.60,"869,682",18.85,"1,926,220","15,426,000",334.35,0.05
1-00573-0054,23 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL,C6  -WALK-UP,18,1870,"12,632","697,034",55.18,"188,217",14.90,"508,817","4,102,000",324.73,1-00574-0073,59 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,C1  -WALK-UP,60,1900,"37,999","1,902,610",50.07,"454,088",11.95,"1,448,522","11,734,000",308.80,0.05,1-00539-0028,217 THOMPSON STREET,GREENWICH VILLAGE-CENTRAL,C7  -WALK-UP,47,1920,"25,144","1,626,314",64.68,"375,148",14.92,"1,251,165","9,973,000",396.64,0.34,1-00553-0017,48 WEST 8 STREET,GREENWICH VILLAGE-CENTRAL,C7  -WALK-UP,44,1930,"20,443","1,128,045",55.18,"261,466",12.79,"866,579","6,984,000",341.63,0.11
1-00573-0062,35 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,36,1926,"41,412","2,096,690",50.63,"773,162",18.67,"1,323,528","10,712,000",258.67,1-00573-0011,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,27,1910,"20,797","1,057,527",50.85,"279,928",13.46,"777,600","5,860,000",281.77,0,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,54,1900,"49,408","2,444,708",49.48,"737,661",14.93,"1,707,046","13,621,000",275.68,0.21,1-00543-0048,136 WEST 4 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,30,1929,"20,874","1,056,851",50.63,"389,718",18.67,"667,133","4,523,000",216.68,0.3
1-00573-0075,61 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,61,1926,"56,527","2,864,788",50.68,"1,250,377",22.12,"1,614,411","13,066,000",231.15,1-00573-0019,42 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D7  -ELEVATOR,47,1917,"39,782","2,128,735",53.51,"798,823",20.08,"1,329,912","7,981,000",200.62,0,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,88,1924,"63,943","3,240,631",50.68,"1,414,419",22.12,"1,826,212","15,488,000",242.22,0.09,1-00564-0004,107 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D8  -ELEVATOR,47,1940,"43,395","2,169,316",49.99,"860,523",19.83,"1,308,793","8,422,000",194.08,0.28
1-00574-0010,68 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,C6  -WALK-UP,11,1900,"4,400","198,836",45.19,"59,664",13.56,"139,172","1,132,000",257.27,1-00573-0008,68 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,C4  -WALK-UP,20,1910,"9,135","370,698",40.58,"133,828",14.65,"236,871","1,929,000",211.17,0.05,1-00611-0076,153 WEST 10 STREET,GREENWICH VILLAGE-WEST,C4  -WALK-UP,27,1910,"11,836","715,841",60.48,"164,047",13.86,"551,794","4,419,000",373.35,0.21,1-00525-0016,183 THOMPSON STREET,GREENWICH VILLAGE-CENTRAL,C1  -WALK-UP,55,1900,"28,623","1,293,473",45.19,"417,323",14.58,"876,150","7,126,000",248.96,0.48
1-00574-0011,64 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,C6  -WALK-UP,15,1900,"14,196","760,480",53.57,"197,040",13.88,"563,439","4,549,000",320.44,1-00553-0017,48 WEST 8 STREET,GREENWICH VILLAGE-CENTRAL,C7  -WALK-UP,44,1930,"20,443","1,128,045",55.18,"261,466",12.79,"866,579","6,984,000",341.63,0.15,1-00552-0070,83 WEST WASHINGTON PLACE,GREENWICH VILLAGE-CENTRAL,C1  -WALK-UP,12,1900,"9,750","506,513",51.95,"145,860",14.96,"360,653","2,917,000",299.18,0.2,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00574-0039,40 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,81,1929,"141,877","6,917,923",48.76,"2,287,057",16.12,"4,630,865","37,539,000",264.59,1-00844-0008,9 EAST 16 STREET,FLATIRON,D6  -ELEVATOR,16,1900,"30,680","1,495,957",48.76,"494,562",16.12,"1,001,395","10,910,000",355.61,0.33,1-00477-0001,80 VARICK STREET,SOHO,D5  -ELEVATOR,61,1920,"125,235","6,008,775",47.98,"2,413,278",19.27,"3,595,497","16,755,000",133.79,0.88,1-00939-0028,347 EAST 33 STREET,KIPS BAY,D8  -ELEVATOR,212,1998,"213,549","10,844,018",50.78,"4,243,219",19.87,"6,600,800","64,669,000",302.83,1.31
1-00574-0067,45 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,90,1957,"77,829","3,812,064",48.98,"1,536,344",19.74,"2,275,720","18,448,000",237.03,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,88,1924,"63,943","3,131,928",48.98,"1,221,311",19.10,"1,910,617","15,488,000",242.22,0.05,1-00548-0040,11 WAVERLY PLACE,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,159,1929,"78,810","6,149,544",78.03,"2,026,205",25.71,"4,123,339","32,376,000",410.81,0.3,1-00640-0021,756 WASHINGTON STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,67,2003,"76,549","3,417,147",44.64,"930,070",12.15,"2,487,077","20,229,000",264.26,0.66
1-00575-0057,15 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,42,1923,"51,113","2,859,261",55.94,"808,097",15.81,"2,051,165","16,520,000",323.21,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,54,1900,"49,408","2,763,884",55.94,"781,140",15.81,"1,982,743","13,621,000",275.68,0.16,1-00573-0011,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,27,1910,"20,797","1,191,668",57.30,"298,437",14.35,"893,231","5,860,000",281.77,0.09,1-00558-0044,115 EAST 12 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,69,1900,"41,750","2,154,718",51.61,"592,850",14.20,"1,561,868","13,067,000",312.98,0.42
1-00575-0072,45 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,34,1846,"27,308","1,288,391",47.18,"448,944",16.44,"839,448","6,816,000",249.60,1-00618-0044,209 WEST 13 STREET,GREENWICH VILLAGE-WEST,C1  -WALK-UP,36,1900,"27,075","1,137,962",42.03,"341,416",12.61,"796,547","6,490,000",239.70,0.36,1-00624-0059,63 BANK STREET,GREENWICH VILLAGE-WEST,C4  -WALK-UP,15,1901,"10,440","546,221",52.32,"157,957",15.13,"388,264","3,137,000",300.48,0.45,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00576-0001,486 AVENUE OF THE AMERICAS,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,113,1960,"131,126","7,413,864",56.54,"2,166,202",16.52,"5,247,663","42,231,000",322.06,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,88,1924,"63,943","3,510,471",54.90,"1,239,855",19.39,"2,270,616","15,488,000",242.22,0.05,1-00576-0076,71 WEST 12 STREET,GREENWICH VILLAGE-CENTRAL,D7  -ELEVATOR,47,1922,"37,824","2,138,569",56.54,"624,852",16.52,"1,513,716","9,230,000",244.02,0,1-00572-0026,24 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL,D9  -ELEVATOR,50,1923,"46,137","2,764,068",59.91,"763,567",16.55,"2,000,500","15,426,000",334.35,0.19
1-00576-0016,42 WEST 13 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,40,1960,"31,540","1,599,709",50.72,"526,403",16.69,"1,073,306","8,687,000",275.43,1-00573-0011,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,27,1910,"20,797","1,059,191",50.93,"238,750",11.48,"820,442","5,860,000",281.77,0.14,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,54,1900,"49,408","2,449,155",49.57,"639,340",12.94,"1,809,815","13,621,000",275.68,0.15,1-00543-0048,136 WEST 4 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,30,1929,"20,874","1,058,729",50.72,"348,387",16.69,"710,342","4,523,000",216.68,0.44
1-00576-0022,30 WEST 13 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,30,1900,"60,692","2,793,046",46.02,"995,956",16.41,"1,797,090","14,603,000",240.61,1-00576-0076,71 WEST 12 STREET,GREENWICH VILLAGE-CENTRAL,D7  -ELEVATOR,47,1922,"37,824","1,628,323",43.05,"494,360",13.07,"1,133,964","9,230,000",244.02,0,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,88,1924,"63,943","3,131,928",48.98,"1,221,311",19.10,"1,910,617","15,488,000",242.22,0.05,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00576-0025,37 WEST 12 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,105,1961,"235,875","11,656,943",49.42,"4,137,248",17.54,"7,519,695","60,957,000",258.43,1-00844-0019,33 UNION SQUARE,FLATIRON,D6  -ELEVATOR,22,1900,"51,150","3,080,253",60.22,"893,591",17.47,"2,186,663","17,531,000",342.74,0.25,1-00741-0067,112 9 AVENUE,CHELSEA,D7  -ELEVATOR,66,1938,"57,706","2,601,386",45.08,"915,794",15.87,"1,685,592","13,707,000",237.53,0.57,1-00904-0043,214 EAST 24 STREET,GRAMERCY,D3  -ELEVATOR,72,1980,"57,800","2,856,476",49.42,"1,013,812",17.54,"1,842,664","14,937,000",258.43,0.77
1-00576-0049,15 WEST 12 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,79,1959,"66,201","3,413,324",51.56,"1,143,291",17.27,"2,270,032","18,357,000",277.29,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,88,1924,"63,943","3,131,928",48.98,"1,221,311",19.10,"1,910,617","15,488,000",242.22,0.05,1-00572-0026,24 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL,D9  -ELEVATOR,50,1923,"46,137","2,795,902",60.60,"869,682",18.85,"1,926,220","15,426,000",334.35,0.19,1-00469-0030,223 2 AVENUE,EAST VILLAGE,D6  -ELEVATOR,93,1925,"63,158","3,256,426",51.56,"1,090,739",17.27,"2,165,688","17,513,000",277.29,0.55
1-00576-0056,31 WEST 12 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,23,1900,"44,586","1,933,695",43.37,"553,758",12.42,"1,379,937","11,232,000",251.92,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,54,1900,"49,408","2,142,825",43.37,"613,647",12.42,"1,529,178","13,621,000",275.68,0.15,1-00573-0011,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,27,1910,"20,797","930,250",44.73,"227,935",10.96,"702,315","5,860,000",281.77,0.14,1-00558-0044,115 EAST 12 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,69,1900,"41,750","1,629,920",39.04,"450,900",10.80,"1,179,020","13,067,000",312.98,0.42
1-00576-0066,49 WEST 12 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,80,1952,"67,421","2,762,913",40.98,"966,817",14.34,"1,796,095","14,631,000",217.01,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,88,1924,"63,943","3,131,928",48.98,"1,221,311",19.10,"1,910,617","15,488,000",242.22,0.05,1-00564-0004,107 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D8  -ELEVATOR,47,1940,"43,395","1,664,632",38.36,"631,831",14.56,"1,032,801","8,422,000",194.08,0.25,1-00635-0026,772 GREENWICH STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,90,1950,"70,350","2,882,943",40.98,"1,033,442",14.69,"1,849,502","15,067,000",214.17,0.6
1-00577-0024,22 WEST 14 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,186,1960,"151,500","7,126,560",47.04,"2,743,665",18.11,"4,382,895","35,587,000",234.90,1-00545-0059,752 BROADWAY,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,180,1909,"147,773","9,108,728",61.64,"2,466,331",16.69,"6,642,396","53,154,000",359.70,0.45,1-00556-0001,85 4 AVENUE,GREENWICH VILLAGE-CENTRAL,D8  -ELEVATOR,164,1959,"163,665","6,132,528",37.47,"1,880,511",11.49,"4,252,017","34,667,000",211.82,0.46,1-00548-0001,1 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,270,1930,"218,985","10,301,054",47.04,"3,965,818",18.11,"6,335,236","51,434,000",234.87,0.37
1-00577-0030,18 WEST 14 STREET,GREENWICH VILLAGE-CENTRAL,D4  -ELEVATOR,86,1962,"100,315","4,756,937",47.42,"1,913,007",19.07,"2,843,930","23,091,000",230.18,1-00575-0011,472 AVENUE OF THE AMERICAS,GREENWICH VILLAGE-CENTRAL,D8  -ELEVATOR,47,1957,"34,485","1,573,895",45.64,"624,523",18.11,"949,372","11,526,000",334.23,0.1,1-00575-0077,55 WEST 11 STREET,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,88,1924,"63,943","3,032,177",47.42,"1,219,393",19.07,"1,812,784","15,488,000",242.22,0.1,1-00576-0076,71 WEST 12 STREET,GREENWICH VILLAGE-CENTRAL,D7  -ELEVATOR,47,1922,"37,824","1,855,645",49.06,"612,749",16.20,"1,242,897","9,230,000",244.02,0.05
1-00577-0042,74 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D0  -ELEVATOR,38,1910,"93,396","4,697,819",50.30,"1,532,628",16.41,"3,165,190","25,637,000",274.50,1-00572-0038,20 5 AVENUE,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,115,1940,"132,420","7,092,415",53.56,"2,000,866",15.11,"5,091,549","41,103,000",310.40,0.24,1-00548-0001,1 UNIVERSITY PLACE,GREENWICH VILLAGE-CENTRAL,D6  -ELEVATOR,270,1930,"218,985","10,301,054",47.04,"3,965,818",18.11,"6,335,236","51,434,000",234.87,0.37,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00577-0066,43 WEST 13 STREET,GREENWICH VILLAGE-CENTRAL,D0  -ELEVATOR,15,1906,"46,350","1,995,368",43.05,"605,795",13.07,"1,389,573","11,310,000",244.01,1-00576-0076,71 WEST 12 STREET,GREENWICH VILLAGE-CENTRAL,D7  -ELEVATOR,47,1922,"37,824","1,628,323",43.05,"494,360",13.07,"1,133,964","9,230,000",244.02,0.05,1-00572-0026,24 WEST 9 STREET,GREENWICH VILLAGE-CENTRAL,D9  -ELEVATOR,50,1923,"46,137","2,795,902",60.60,"869,682",18.85,"1,926,220","15,426,000",334.35,0.24,1-00573-0019,42 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D7  -ELEVATOR,47,1917,"39,782","1,692,326",42.54,"712,496",17.91,"979,831","7,981,000",200.62,0.19
1-00583-0029,59 BEDFORD STREET,GREENWICH VILLAGE-WEST,D0  -ELEVATOR,25,1920,"47,846","2,180,342",45.57,"517,215",10.81,"1,663,127","13,515,000",282.47,1-00588-0071,33 GROVE STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,65,1920,"31,460","1,447,789",46.02,"448,934",14.27,"998,855","15,252,000",484.81,0.17,1-00586-0040,45 CARMINE STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,34,1958,"15,575","709,753",45.57,"168,366",10.81,"541,387","5,401,000",346.77,0.12,1-00592-0042,84 GROVE STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,20,1885,"16,400","739,476",45.09,"244,032",14.88,"495,444","3,605,000",219.82,0.28
1-00584-0018,79 BARROW STREET,GREENWICH VILLAGE-WEST,D4  -ELEVATOR,19,1920,"13,484","550,821",40.85,"156,549",11.61,"394,272","3,212,000",238.21,1-00592-0042,84 GROVE STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,20,1885,"16,400","674,368",41.12,"230,748",14.07,"443,620","3,605,000",219.82,0.25,1-00592-0046,92 GROVE STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,24,1900,"16,500","674,025",40.85,"191,565",11.61,"482,460","5,280,000",320.00,0.25,1-00630-0021,686 GREENWICH STREET,GREENWICH VILLAGE-WEST,D5  -ELEVATOR,42,1880,"24,365","925,383",37.98,"289,700",11.89,"635,683","11,476,000",471.00,0.19
1-00584-0043,47 MORTON STREET,GREENWICH VILLAGE-WEST,D4  -ELEVATOR,29,1926,"13,664","784,724",57.43,"218,351",15.98,"566,373","4,562,000",333.87,1-00582-0032,41 BEDFORD STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,25,1929,"11,740","759,108",64.66,"136,654",11.64,"622,455","4,962,000",422.66,0.11,1-00592-0080,125 WEST WASHINGTON PLACE,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,30,1926,"17,688","853,977",48.28,"250,108",14.14,"603,868","4,899,000",276.97,0.25,1-00586-0040,45 CARMINE STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,34,1958,"15,575","868,151",55.74,"197,491",12.68,"670,660","5,401,000",346.77,0.13
