Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance in miles
1-00137-0035,90 WEST BROADWAY,TRIBECA,D4  -ELEVATOR,14,1920,"48,079","1,824,598",37.95,"617,334",12.84,"1,207,264","9,842,000",204.70,1-00077-0001,85 JOHN STREET,FINANCIAL,D7  -ELEVATOR,163,1926,"160,000","6,385,600",39.91,"2,561,600",16.01,"3,824,000","31,173,000",194.83,0.5,1-00802-0001,283 7 AVENUE,CHELSEA,D5  -ELEVATOR,18,1920,"25,144","904,681",35.98,"244,400",9.72,"660,281","5,385,000",214.17,2.25,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00140-0001,139 CHAMBERS STREET,TRIBECA,D4  -ELEVATOR,11,1915,"25,473","1,316,699",51.69,"345,923",13.58,"970,776","7,850,000",308.17,1-00223-0013,440 WASHINGTON STREET,TRIBECA,D7  -ELEVATOR,50,2018,"51,979","2,984,634",57.42,"654,416",12.59,"2,330,219","17,667,000",339.89,0.5,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6  -ELEVATOR,1722,1983,"1,881,621","96,677,687",51.38,"23,200,387",12.33,"73,477,300",411274000,218.57,0.47,1-00016-0221,450 NORTH END AVENUE,TRIBECA,D8  -ELEVATOR,152,1998,"244,617","12,644,253",51.69,"3,321,899",13.58,"9,322,354","60,718,000",248.22,0.47
1-00143-0001,47 HUDSON STREET,TRIBECA,D4  -ELEVATOR,40,1930,"77,630","3,190,593",41.10,"957,178",12.33,"2,233,415","18,193,000",234.36,1-00223-0013,440 WASHINGTON STREET,TRIBECA,D7  -ELEVATOR,50,2018,"51,979","2,440,414",46.95,"665,851",12.81,"1,774,563","17,667,000",339.89,0.4,1-00224-0001,450 WASHINGTON STREET,TRIBECA,D8  -ELEVATOR,286,2007,"305,542","12,557,776",41.10,"4,182,870",13.69,"8,374,906","95,344,000",312.05,0.45,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6  -ELEVATOR,1722,1983,"1,881,621","76,977,115",40.91,"23,614,344",12.55,"53,362,772",411274000,218.57,0.57
1-00143-0004,55 HUDSON STREET,TRIBECA,D4  -ELEVATOR,46,1900,"103,750","4,862,763",46.87,"1,182,750",11.40,"3,680,013","29,880,000",288.00,1-00179-0032,176 WEST BROADWAY,TRIBECA,D6  -ELEVATOR,19,2008,"52,930","2,631,150",49.71,"945,859",17.87,"1,685,291","25,690,000",485.36,0.09,1-00223-0013,440 WASHINGTON STREET,TRIBECA,D7  -ELEVATOR,50,2018,"51,979","2,436,256",46.87,"592,561",11.40,"1,843,695","17,667,000",339.89,0.4,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6  -ELEVATOR,1722,1983,"1,881,621","76,826,585",40.83,"20,942,442",11.13,"55,884,144",411274000,218.57,0.57
1-00143-0009,173 DUANE STREET,TRIBECA,D4  -ELEVATOR,11,1925,"24,500","1,136,065",46.37,"328,055",13.39,"808,010","6,566,000",268.00,1-00223-0013,440 WASHINGTON STREET,TRIBECA,D7  -ELEVATOR,50,2018,"51,979","2,714,343",52.22,"650,257",12.51,"2,064,086","17,667,000",339.89,0.39,1-00224-0001,450 WASHINGTON STREET,TRIBECA,D8  -ELEVATOR,286,2007,"305,542","14,167,983",46.37,"4,091,207",13.39,"10,076,775","95,344,000",312.05,0.44,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6  -ELEVATOR,1722,1983,"1,881,621","86,893,258",46.18,"23,049,857",12.25,"63,843,401",411274000,218.57,0.55
1-00143-0021,335 GREENWICH STREET,TRIBECA,D4  -ELEVATOR,29,1931,"55,800","2,295,612",41.14,"690,804",12.38,"1,604,808","13,073,000",234.28,1-00223-0013,440 WASHINGTON STREET,TRIBECA,D7  -ELEVATOR,50,2018,"51,979","2,436,256",46.87,"592,561",11.40,"1,843,695","17,667,000",339.89,0.39,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6  -ELEVATOR,1722,1983,"1,881,621","76,826,585",40.83,"20,942,442",11.13,"55,884,144",411274000,218.57,0.55,1-00016-0221,450 NORTH END AVENUE,TRIBECA,D8  -ELEVATOR,152,1998,"244,617","10,063,543",41.14,"3,028,358",12.38,"7,035,185","60,718,000",248.22,0.55
1-00144-0001,16 HUDSON STREET,TRIBECA,D4  -ELEVATOR,36,1915,"78,306","3,669,419",46.86,"688,310",8.79,"2,981,109","24,208,000",309.15,1-00016-0100,345 SOUTH END AVENUE,TRIBECA,D6  -ELEVATOR,1722,1983,"1,881,621","87,589,458",46.55,"20,001,631",10.63,"67,587,826",411274000,218.57,0.53,1-00016-0221,450 NORTH END AVENUE,TRIBECA,D8  -ELEVATOR,152,1998,"244,617","11,462,753",46.86,"2,906,050",11.88,"8,556,703","60,718,000",248.22,0.53,1-00223-0013,440 WASHINGTON STREET,TRIBECA,D7  -ELEVATOR,50,2018,"51,979","2,733,576",52.59,"566,571",10.90,"2,167,005","17,667,000",339.89,0.49
1-00144-0023,84 THOMAS STREET,TRIBECA,D4  -ELEVATOR,12,1880,"30,222","1,376,612",45.55,"592,049",19.59,"784,563","6,376,000",210.97,1-00470-0005,160 MOTT STREET,LITTLE ITALY,D1  -ELEVATOR,35,1910,"11,967","485,860",40.60,"168,136",14.05,"317,724","2,395,000",200.13,0.67,1-00504-0036,100 SULLIVAN STREET,SOHO,D1  -ELEVATOR,70,1920,"33,750","1,563,300",46.32,"457,650",13.56,"1,105,650","10,810,000",320.30,0.68,1-00504-0031,110 SULLIVAN STREET,SOHO,D1  -ELEVATOR,60,1920,"38,880","1,770,984",45.55,"577,368",14.85,"1,193,616","9,267,000",238.35,0.68
1-00146-0021,134 DUANE STREET,CIVIC CENTER,D0  -ELEVATOR,18,1920,"41,756","1,705,733",40.85,"560,366",13.42,"1,145,367","9,329,000",223.42,1-00077-0001,85 JOHN STREET,FINANCIAL,D7  -ELEVATOR,163,1926,"160,000","6,385,600",39.91,"2,561,600",16.01,"3,824,000","31,173,000",194.83,0.5,1-00077-0024,82 FULTON STREET,FINANCIAL,D7  -ELEVATOR,205,1900,"159,000","6,643,020",41.78,"2,656,890",16.71,"3,986,130","32,467,000",204.19,0.5,,,,,         ,,          ,          ,          ,          ,          ,          ,          ,          ,         
1-00150-0010,74 READE STREET,CIVIC CENTER,D4  -ELEVATOR,11,1915,"20,788","862,078",41.47,"279,806",13.46,"582,272","4,743,000",228.16,1-00220-0027,36 LAIGHT STREET,TRIBECA,D1  -ELEVATOR,14,1900,"26,712","1,155,828",43.27,"341,646",12.79,"814,182","6,789,000",254.16,0.48,1-00470-0005,160 MOTT STREET,LITTLE ITALY,D1  -ELEVATOR,35,1910,"11,967","437,035",36.52,"151,502",12.66,"285,533","2,395,000",200.13,0.62,1-00504-0031,110 SULLIVAN STREET,SOHO,D1  -ELEVATOR,60,1920,"38,880","1,612,354",41.47,"523,325",13.46,"1,089,029","9,267,000",238.35,0.75
