"","year","TRTID10","hinc","powner","pwht","pblk","pop","punemp","mrent","pcol","phs","str30old","hh10old","fhh","pov","pfb","pfb10","p18und","p60up"
"47",1970,36005007600,7662.72,0.21,0.88,0.09,4288,0.05,86.43,0.03,0.57,1164,1031,91,625,883,281,1086,843
"48",1970,36005007700,4367.13,0.05,0.61,0.38,3639,0.09,72.36,0,0.44,778,847,220,1443,174,23,1536,250
"49",1970,36005007800,8708.33,0.25,0.96,0.03,5252,0.03,88.4,0.03,0.56,1384,1091,73,416,1207,451,1314,1150
"50",1970,36005007900,4681.49,0.03,0.7,0.27,8338,0.05,74.03,0,0.46,1290,2030,315,2527,765,487,3548,767
"51",1970,36005008300,4381.12,0.02,0.79,0.18,12192,0.06,75.3,0,0.42,3074,2969,871,4608,711,455,5376,728
"52",1970,36005008400,12088.24,0.73,0.57,0.4,745.44,0.03,147.86,0.02,0.52,12.95,155.84,13.41,103.58,94.8,0,277.46,51.33
"53",1970,36005008500,3815.14,0.05,0.63,0.35,7907.46,0.08,76.17,0,0.42,1752.99,1793.97,619.64,3410.04,367.79,157.91,3533.97,460.74
"54",1970,36005008600,9533.33,0.08,0.82,0.17,4892,0.02,93.94,0.01,0.48,82,1151,57,378,275,42,1921,578
"55",1970,36005008700,4578.87,0.01,0.56,0.4,14985.54,0.06,73.87,0,0.42,3675.01,2897.03,1003.36,5742.96,1208.21,737.09,6676.03,1037.26
"56",1970,36005008900,4944.44,0.02,0.74,0.18,6003.99,0.07,80.83,0,0.43,1508.98,1384.23,377.25,1778.44,190.62,34.93,2540.92,300.4
"57",1970,36005009000,9615.89,0.19,0.84,0.15,4210.29,0.03,94.5,0.01,0.46,90.41,928.69,62.73,388.67,317.28,54,1609.43,476.13
"58",1970,36005009200,8271.43,0.23,0.98,0,4261,0.03,83.37,0.01,0.64,1406,825,37,422,720,294,975,1106
"59",1970,36005009300,5686.78,0.1,0.6,0.36,7478.86,0.05,83.78,0.01,0.42,1832.55,1636.58,403.73,1752.92,429,200,3225.01,533.6
"60",1970,36005009600,8847.62,0.49,0.98,0.02,1926,0.04,102.07,0.03,0.55,407,289,18,148,593,39,548,429
"61",1970,36005009800,9550.56,0.46,0.91,0.07,4341,0.03,122.78,0.02,0.57,710,798,42,247,793,47,1233,703
"62",1970,36005011000,3600,0.85,0.98,0.02,17.34,0,106.67,0.41,0.35,2.52,0,0,3.2,0,0,2.23,3.97
"63",1970,36005011502,4628.2,0.04,0.63,0.3,6089,0.05,81.41,0.01,0.42,1673,1704,401,2338,853,654,2589,397
